Vers,Phonétique,Syllabes
sur ces rives que l'œil se plaît à parcourir,syRseRiv@k@l2j|s@plEtapaRkuRiR,12
nous avons respiré cet air d'un autre monde,nuzavCREspiRe|sEttERdte~otR@mCd,12
élise  et cependant on dit qu'il faut mourir ,elizes@pAdAt|CdikilfomuRiR,12
l'aurore se levait la mer battait la plage,lOROR@s@l@vE|lamERbatElaplaZ,12
ainsi parla sapho debout sur le rivage ,e~sipaRlasaSo|d@busyRl@RivaZ,12
et près d'elle à genoux les filles de lesbos,epREdtElaZ@nu|lefij@d@lEsbos,12
se penchaient sur l'abîme et contemplaient les flots ,s@pASEsyRlabim|ekCtAplEleflo,12
vous allez à vénus dérober sa victime ,vuzaleavenys|deRObesaviktim,12
j'ai méconnu l'amour l'amour punit mon crime,ZemekOnylamuR|l|amuRpynimCkRim,12
ô neptune tes flots seront plus doux pour moi ,onEptyn@teflo|s@RCplydupuRmwa,12
vois-tu de quelles fleurs j'ai couronné ma tête ,vwatyd@kEl@fl9R|Z|ekuROnematEt,12
vois  ce front si longtemps chargé de mon ennui,vwas@fRCsilCtA|SaRZed@mCAnHi,12
orné pour mon trépas comme pour une fête,ORnepuRmCtrepa|kOm@puRyn@fEt,12
du bandeau solennel étincelle aujourd'hui,dybAdosOlanEl|ete~sElojuRdji,12
on dit que dans ton sein mais je ne puis le croire,Cdik@dAtCse~|mEZ@n@pHil@kRwaR,12
on échappe au courroux de l'implacable amour ,CeSapokuRu|d@le~plakablamuR,12
on dit que par tes soins si l'on renaît au jour,Cdik@paRteswe~|silCR@nEtoZuR,12
d'une flamme insensée on y perd la mémoire,dtyn@flame~sAse|CipERlamemwaR,12
mais de l'abîme ô dieu  quel que soit le secours,mEd@labim@o|dj2kElk@swal@s@kuR,13
garde-toi garde-toi de préserver mes jours ,gaRd@twagaRd@twa|d@pRezERvemeZuR,12
je ne viens pas chercher dans tes ondes propices,Z@n@vje~paSERSe|dAtezCd@pROpis,12
un oubli passager vain remède à mes maux ,e~ublipasaZe|ve~R@mEdamemo,12
j'y viens j'y viens trouver le calme des tombeaux,Zivje~Zivje~tRuve|l@kalm@detCbo,12
reçois ô roi des mers mes joyeux sacrifices ,R@swaoRwademER|meZwaj2sakRifis,12
et vous pourquoi ces pleurs  pourquoi ces vains sanglots ,evupuRkwasepl9R|puRkwaseve~sAglo,12
chantez chantez un hymne ô vierges de lesbos ,SAteSAtee~imn@ovjERZ@d@lEsbos,13
importuns souvenirs me suivrez-vous sans cesse ,e~pORte~suv@niR|m@sHivRevusAsEs,12
c'était sous les bosquets du temple de vénus ,setEsulebOskE|dytApl@d@venys,12
moi-même de vénus insensible prêtresse,mwamEm@d@venysz|e~sAsibl@pREtREs,12
je chantais sur la lyre un hymne à la déesse,Z@SAtEsyRlaliR|e~imnaladeEs,12
au pied de ses autels soudain je l'aperçus,opjed@sezotEl|sude~Z@lapERsy,12
dieux  quels transports nouveaux  ô dieux  comment décrire,dj2kEltRAspORnuvo|odj2kOmAdekRiR,12
tous les feux dont mon sein se remplit à la fois ,tuslef2dCmCse~|s@RAplitalafwa,12
ma langue se glaça je demeurai sans voix,malAg@s@glasa|Z@d@m9ResAvwa,12
et ma tremblante main laissa tomber ma lyre,ematRAblAt@me~|lesatCbemaliR,12
non jamais aux regards de l'ingrate daphné,nCZamEzoR@gaR|d@le~gRat@dafne,12
tu ne parus plus beau divin fils de latone ,tyn@paRyplybo|dive~fild@laton,12
jamais le thyrse en main de pampre couronné,ZamEl@tiRsAme~|d@pApR@kuROne,12
le jeune dieu de l'inde en triomphe traîné,l@Z9n@dj2d@le~d|AtRijCf@tRene,13
n'apparut plus brillant aux regards d'érigone,napaRyplybRijAt|oR@gaRdteRigon,12
tout sortit de lui seul je me souvins hélas ,tusORtid@lHis9l|Z@m@suve~elas,12
sans rougir de ma flamme en tout temps à toute heure,sARuZiRd@maflam|AtutAza9R,13
j'errais seule et pensive autour de sa demeure ,ZeREs9lepAsiv|otuRd@sad@m9R,12
un pouvoir plus qu'humain m'enchaînait sur ses pas,e~puvwaRplykyme~|m|ASenEsyRsepa,12
que j'aimais à le voir de la foule enivrée,k@ZemEzal@vwaR|d@lafulAnivRe,12
au gymnase au théâtre attirer tous les yeux,oZimnazoteatR|atiRetuslezj2,12
lancer le disque au loin d'une main assurée,lAsel@diskolwe~|dt|yn@me~asyRe,12
et sur tous ses rivaux l'emporter dans nos jeux ,esyRtusseRivo|l|ApORtedAnoZ2,12
que j'aimais à le voir penché sur la crinière,k@ZemEzal@vwaR|pASesyRlakRinjER,12
d'un coursier de l'élide aussi prompt que les vents,dte~kuRsjed@lelid|osipRCk@levA,12
s'élancer le premier au bout de la carrière,szelAsel@pR@mje|obud@lakaRjER,12
et le front couronné revenir à pas lents ,el@fRCkuROne|R@v@niRapalA,12
ah  de tous ses succès que mon âme était fière ,ad@tussesyksE|k@mCametEfjER,12
et si de ce beau front de sueur humecté,esid@s@bofRC|d@sH9RymEkte,12
j'avais pu seulement essuyer la poussière ,ZavEpys9l@mAt|esHijelapusjER,12
ô dieux  j'aurais donné tout jusqu'à ma beauté,odj2ZOREdOne|tuZyskamabote,12
pour être un seul instant ou sa sœur ou sa mère ,puREtRe~s9le~stAt|usas2RusamER,12
vous qui n'avez jamais rien pu pour mon bonheur,vukinaveZamE|Rje~pypuRmCbOn9R,12
vaines divinités des rives du permesse,vEn@divinite|deRiv@dypERmEs,12
moi-même dans vos arts j'instruisis sa jeunesse ,mwamEm@dAvozaR|Z|e~stRHizisaZ9nEs,12
je composai pour lui ces chants pleins de douceur,Z@kCpozepuRlHi|seSAple~d@dus9R,12
ces chants qui m'ont valu les transports de la grèce,seSAkimCvaly|letRAspORd@lagREs,12
ces chants qui des enfers fléchiraient la rigueur,seSAkidezAfER|fleSiRElaRig9R,12
malheureuse sapho n'ont pu fléchir son cœur,mal9R2z@saSo|n|CpyfleSiRsCk9r,12
et son ingratitude a payé ta tendresse,esCe~gRatityd|apejetatAdREs,12
redoublez vos soupirs redoublez vos sanglots ,R@dublevosupiR|R@dublevosAglo,12
pleurez pleurez ma honte ô filles de lesbos ,pl9Repl9RemaCt@ofij@d@lEsbos,13
si mes soins si mes chants si mes trop faibles charmes,simeswe~simeSA|simetRofEbl@SaRm,12
à son indifférence avaient pu l'arracher ,asCe~difeRAs|avEpylaRaSe,12
si l'ingrat cependant s'était laissé toucher ,sile~gRas@pAdA|sz|etElesetuSe,12
s'il eût été du moins attendri par mes larmes ,szilytetedymwe~z|atAdRipaRmelaRm,12
jamais pour un mortel jamais la main des dieux,ZamEpuRe~mORtEl|ZamElame~dedj2,12
n'aurait filé des jours plus doux plus glorieux,nOREfiledeZuR|plyduplyglORj2,12
que d'éclat cet amour eût jeté sur sa vie ,k@dteklasEttamuR|yZ@tesyRsavi,12
ses jours à ces dieux même auraient pu faire envie ,seZuRzasedj2mEm|OREpyfERAvi,12
et l'amant de sapho fameux dans l'univers,elamAd@saSo|fam2dAlynivER,12
aurait été comme eux immortel dans mes vers,OREtetekOm2z|imORtEldAmevER,12
c'est pour lui que j'aurais sur tes autels propices,sEpuRlHik@ZORE|syRtezotElpROpis,12
fait fumer en tout temps l'encens des sacrifices,fEfymeAtutA|l|AsAdesakRifis,12
ô vénus  c'est pour lui que j'aurais nuit et jour,ovenyssEpuRlHi|k@ZOREnHiteZuR,12
suspendu quelque offrande aux autels de l'amour,syspAdykElkOfRAd|ozotEld@lamuR,12
c'est pour lui que j'aurais durant des nuits entières,sEpuRlHik@ZORE|dyRAdenHizAtjER,12
aux trois fatales sœurs adressé mes prières ,otRwafatal@s2Rz|adResemepRijER,13
ou bien que reprenant mon luth mélodieux,ubje~k@R@pR@nA|mClytmelOdj2,12
j'aurais redit les airs qui lui plaisaient le mieux,ZORER@dilezER|kilHiplEzEl@mj2,12
pour lui j'aurais voulu dans les jeux d'ionie,puRlHiZOREvuly|dAleZ2dtjoni,11
disputer aux vainqueurs les palmes du génie,dispyteove~k9R|lepalm@dyZeni,12
que ces lauriers brillants à mon orgueil offerts,k@selORjebRijAz|amCORg2jOfER,12
en les cueillant pour lui m'auraient été plus chers,Alek9jApuRlHi|m|OREteteplySER,12
j'aurais mis à ses pieds le prix de ma victoire,ZOREmizasepje|l@pRid@maviktwaR,12
et couronné son front des rayons de ma gloire,ekuROnesCfRC|deREjCd@maglwaR,12
souvent à la prière abaissant mon orgueil,suvAtalapRijER|abesAmCORg2j,12
de ta porte ô phaon j'allais baiser le seuil,d@tapORt@ofA|Z|alEbezel@s9j,12
 au moins disais-je au moins si ta rigueur jalouse,omwe~dizEZ@o|mwe~sitaRig9RZaluz,13
me refuse à jamais ce doux titre d'épouse,m@R@fyzaZamE|s@dutitR@dtepuz,12
souffre ô trop cher phaon que sapho près de toi,sufR@otRoSERfA|k@saSopREd@twa,12
esclave si tu veux vive au moins sous ta loi ,Esklav@sityv2|vivomwe~sutalwa,12
que m'importe ce nom et cette ignominie,k@me~pORt@s@nC|esEtinjOmini,12
pourvu qu'à tes côtés je consume ma vie,puRvykatekote|Z@kCsym@mavi,12
pourvu que je te voie et qu'à mon dernier jour,puRvyk@Z@t@vwa|ekamCdERnjeZuR,12
d'un regard de pitié tu plaignes tant d'amour ,dte~R@gaRd@pitje|typlEnj@tAdtamuR,12
ne crains pas mes périls ne crains pas ma faiblesse ,n@kRe~pamepeRil|n@kRe~pamafEblEs,12
vénus égalera ma force à ma tendresse,venyszegal@Ra|mafORsamatAdREs,12
sur les flots sur la terre attachée à tes pas,syRleflosyRlatER|ataSeatepa,12
tu me verras te suivre au milieu des combats ,tym@vERat@sHivR|omilj2dekCba,12
tu me verras de mars affrontant la furie,tym@vERad@maRsz|afRCtAlafyRi,12
détourner tous les traits qui menacent ta vie,detuRnetusletRE|kim@nastavi,11
entre la mort et toi toujours prompte à courir,AtR@lamORtetwa|tuZuRpRCptakuRiR,12
trop heureuse pour lui si j'avais pu mourir ,tRo9R2z@puRlHi|siZavEpymuRiR,12
lorsque enfin fatigué des travaux de bellone,lORskAfe~fatige|detRavod@bElon,12
sous la tente au sommeil ton âme s'abandonne,sulatAtosOmEj|tCamszabAdOn,11
ce sommeil ô phaon qui n'est plus fait pour moi,s@sOmEjofAki|n|EplyfEpuRmwa,11
seule me laissera veillant autour de toi ,s9l@m@les@Ra|vejAtotuRd@twa,12
et si quelque souci vient rouvrir ta paupière,esikElk@susi|vje~RuvRiRtapopjER,12
assise à tes côtés durant la nuit entière,asizatekote|dyRAlanHitAtjER,12
mon luth sur mes genoux soupirant mon amour,mClytsyRmeZ@nu|supiRAmCamuR,12
je charmerai ta peine en attendant le jour ,Z@SaRm@RetapEn|AatAdAl@ZuR,12
je disais et les vents emportaient ma prière ,Z@dizEzelevAz|ApORtEmapRijER,12
l'écho répétait seul ma plainte solitaire,lekoRepetEs9l|maple~t@sOlitER,12
et l'écho seul encor répond à mes sanglots,elekos9lAkor|RepCtamesAglo,12
pleurez pleurez ma honte ô filles de lesbos ,pl9Repl9RemaCt@ofij@d@lEsbos,13
toi qui fus une fois mon bonheur et ma gloire,twakifyzyn@fwa|mCbOn9RemaglwaR,12
ô lyre que ma main fit résonner pour lui,oliR@k@mame~|fiRezOnepuRlHi,12
ton aspect que j'aimais m'importune aujourd'hui,tCaspEk@ZemE|m|e~pORtynojuRdji,12
et chacun de tes airs rappelle à ma mémoire,eSake~d@tezER|RapElamamemwaR,12
et mes feux et ma honte et l'ingrat qui m'a fui,emef2zemaCt|ele~gRakimafHi,12
brise-toi dans mes mains lyre à jamais funeste ,bRiz@twadAmeme~|liRaZamEfynEst,12
aux autels de vénus dans ses sacrés parvis,ozotEld@venys|dAsesakRepaRvi,12
je ne te suspends pas  que le courroux céleste,Z@n@t@syspApa|k@l@kuRuselEst,12
sur ces flots orageux disperse tes débris,syRseflozORaZ2|dispERs@tedebRi,12
et que de mes tourments nul vestige ne reste ,ek@d@metuRmA|nylvEstiZ@n@REst,12
que ne puis-je de même engloutir dans ces mers,k@n@pHiZ@d@mEm|AglutiRdAsemER,12
et ma fatale gloire et mes chants et mes vers ,emafatal@glwaR|emeSAzemevER,12
que ne puis-je effacer mes traces sur la terre ,k@n@pHiZ@efasemetRas@syRlatER,13
que ne puis-je aux enfers descendre tout entière,k@n@pHiZ@ozAfERdesAdR@tutAtjER,13
et brûlant ces écrits où doit vivre phaon,ebRylAsezekRiz|udwavivR@fA,11
emporter avec moi l'opprobre de mon nom ,ApORteavEkmwa|l|OpRObR@d@mCnC,12
cependant si les dieux que sa rigueur outrage,s@pAdAsiledj2|k@saRig9RutRaZ,12
poussaient en cet instant ses pas vers le rivage ,pusEtAsEtte~stA|sepavERl@RivaZ,12
si de ce lieu suprême il pouvait s'approcher ,sid@s@lj2sypREm|ilpuvEszapROSe,12
s'il venait contempler sur le fatal rocher,szilv@nEkCtAple|syRl@fatalROSe,12
sapho les yeux en pleurs errante échevelée,saSolezj2zApl9Rz|eRAteS@v@le,12
frappant de vains sanglots la rive désolée,fRapAd@ve~sAglo|laRiv@dezOle,12
brûlant encor pour lui lui pardonnant son sort,bRylAtAkorpuRlHi|lHipaRdOnAsCsOR,12
et dressant lentement les apprêts de sa mort ,edResAlAt@mA|lezapREd@samOR,12
sans doute à cet aspect touché de mon supplice,sAdutasEttaspE|tuSed@mCsyplis,12
il se repentirait de sa longue injustice,ils@R@pAtiRE|d@salCge~Zystis,12
sans doute par mes pleurs se laissant désarmer,sAdut@paRmepl9R|s@lesAdezaRme,12
il dirait à sapho   vis encor pour aimer  ,ildiREtasaSo|viszAkorpuReme,12
qu'ai-je dit  loin de moi quelque remords peut-être,keZ@dilwe~d@mwa|kElk@R@mORp2EtR,12
à défaut de l'amour dans son cœur a pu naître ,adefod@lamuR|dAsCk9rapynEtR,12
peut-être dans sa fuite averti par les dieux,p2EtR@dAsafHit|avERtipaRledj2,12
il frissonne il s'arrête il revient vers ces lieux ,ilfRisOnilszaREt|ilR@vje~vERselj2,12
il revient m'arrêter sur les bords de l'abîme ,ilR@vje~maRete|syRlebORd@labim,12
il revient  il m'appelle il sauve sa victime ,ilR@vje~tilmapEl|ilsov@saviktim,12
oh  qu'entends-je  écoutez du côté de lesbos,okAtAZ@ekutedykoted@lEsbos,13
une clameur lointaine a frappé les échos ,yn@klam9Rlwe~tEn|afRapelezeko,12
j'ai reconnu l'accent de cette voix si chère,ZeR@kOnylaksA|d@sEt@vwasiSER,12
j'ai vu sur le chemin s'élever la poussière ,ZevysyRl@S@me~|sz|el@velapusjER,12
ô vierges regardez  ne le voyez-vous pas,ovjERZ@R@gaRde|n@l@vwajevupa,12
descendre la colline et me tendre les bras ,desAdR@lakOlin|em@tAdR@lebRa,12
mais non  tout est muet dans la nature entière,mEnCtutEmHE|dAlanatyRAtjER,12
un silence de mort règne au loin sur la terre ,e~silAs@d@mOR|REnjolwe~syRlatER,12
le chemin est désert  je n'entends que les flots ,l@S@me~EdezER|Z@nAtAk@leflo,12
pleurez pleurez ma honte ô filles de lesbos ,pl9Repl9RemaCt@ofij@d@lEsbos,13
mais déjà s'élançant vers les cieux qu'il colore,mEdeZaszelAsA|vERlesj2kilkOlOR,12
le soleil de son char précipite le cours,l@sOlEjd@sCSaR|pResipit@l@kuR,12
toi qui viens commencer le dernier de mes jours,twakivje~kOmAse|l@dERnjed@meZuR,12
adieu dernier soleil  adieu suprême aurore ,adj2dERnjesOlEj|adj2sypREmOROR,12
demain du sein des flots vous jaillirez encore ,d@me~dyse~deflo|vuZajiReAkOR,12
et moi je meurs  et moi je m'éteins pour toujours ,emwaZ@m9Rzemwa|Z@mete~puRtuZuR,12
adieu champs paternels  adieu douce contrée ,adj2SApatERnElz|adj2dus@kCtRe,12
adieu chère lesbos à vénus consacrée ,adj2SER@lEsbosz|avenyskCsakRe,12
rivage où j'ai reçu la lumière des cieux ,RivaZuZeR@sy|lalymjER@desj2,12
temple auguste où ma mère aux jours de ma naissance,tAplogystumamER|oZuRd@manEsAs,12
d'une tremblante main me consacrant aux dieux,dtyn@tRAblAt@me~|m@kCsakRAtodj2,12
au culte de vénus dévoua mon enfance ,okylt@d@venys|devwamCAfAs,12
et toi forêt sacrée où les filles du ciel,etwafOREsakRe|ulefij@dysjEl,12
entourant mon berceau m'ont nourri de leur miel,AtuRAmCbERso|m|CnuRid@l9RmjEl,12
adieu  leurs vains présents que le vulgaire envie,adj2l9Rve~pRezA|k@l@vylgERAvi,12
ni les traits de l'amour ni les coups du destin,niletREd@lamuR|nilekudydEste~,12
misérable sapho n'ont pu sauver ta vie ,mizeRabl@saSo|n|Cpysovetavi,12
tu vécus dans les pleurs et tu meurs au matin ,tyvekydAlepl9Rz|etym9Rzomate~,12
ainsi tombe une fleur avant le temps fanée ,e~sitCbyn@fl9R|avAl@tAfane,12
ainsi cruel amour sous le couteau mortel,e~sikRyElamuR|sul@kutomORtEl,12
une jeune victime à ton temple amenée,yn@Z9n@viktim|atCtAplam@ne,12
qu'à ton culte en naissant le pâtre a destinée,katCkyltAnEsA|l@patRadEstine,12
vient tomber avant l'âge au pied de ton autel,vje~tCbeavAlaZ|opjed@tCotEl,12
et vous qui reverrez le cruel que j'adore,evukiR@vERe|l@kRyElk@ZadOR,12
quand l'ombre du trépas aura couvert mes yeux,kAlCbR@dytrepaz|ORakuvERmezj2,12
compagnes de sapho portez-lui ces adieux ,kCpanj@d@saSo|pORtelHisezadj2,12
dites-lui qu'en mourant je le nommais encore ,dit@lHikAmuRA|Z@l@nOmEzAkOR,12
elle dit et le soir quittant le bord des flots,El@ditel@swaR|kitAl@bORdeflo,12
vous revîntes sans elle ô vierges de lesbos ,vur@ve~t@sAzEl@ovjERZ@d@lEsbos,13
la coupe de mes jours s'est brisée encor pleine ,lakup@d@meZuR|sz|EbRizeAkorplEn,12
ma vie en longs soupirs s'enfuit à chaque haleine ,maviAlCsupiR|sz|AfHitaSakalEn,12
ni larmes ni regrets ne peuvent l'arrêter ,nilaRm@niR@gRE|n@p9vlaRete,11
et l'aile de la mort sur l'airain qui me pleure,elEl@d@lamOR|syRlERe~kim@pl9R,12
en sons entrecoupés frappe ma dernière heure,AsCzAtR@kupe|fRap@ma9R,13
chantons puisque mes doigts sont encor sur la lyre ,SAtCpHisk@medwa|sCtAkorsyRlaliR,12
chantons puisque la mort comme au cygne m'inspire,SAtCpHisk@lamOR|kOmosinj@me~spiR,12
au bord d'un autre monde un cri mélodieux,obORdte~otR@mCd|e~kRimelOdj2,12
c'est un présage heureux donné par mon génie ,sEte~2R2dOnepaRmCZeni,13
si notre âme n'est rien qu'amour et qu'harmonie,sinOtR@amnERje~|k|amuRekaRmOni,12
la lyre en se brisant jette un son plus sublime ,laliRAs@bRizA|ZEte~sCplysyblim,12
la lampe qui s'éteint tout à coup se ranime,lalAp@kiszete~|tutakus@Ranim,12
et d'un éclat plus pur brille avant d'expirer ,edte~eklaplypyR|bRijavAdtEkspiRe,12
le cygne voit le ciel à son heure dernière ,l@sinj@vwal@sjEl|asC9R@dERnjER,12
l'homme seul reportant ses regards en arrière,lOm@s9lR@pORtA|seR@gaRzAaRjER,12
qu'est-ce donc que des jours pour valoir qu'on les pleure ,kEs@dCkk@deZuR|puRvalwaRkClepl9R,12
un soleil un soleil une heure et puis une heure ,e~sOlEje~sOlEj|9RepHiz9R,14
celle qui vient ressemble à celle qui s'enfuit ,sEl@kivje~R@sAbl|asEl@kiszAfHi,12
