Syllabe,Occurrences,Pourcentage
pER,4,0.06
tyR,6,0.09
zER,10,0.15
vEk,1,0.02
gER,3,0.05
Ran,2,0.03
zo,8,0.12
foz,1,0.02
2,3,0.05
HiR,5,0.08
dEl,5,0.08
gEt,1,0.02
lAt,9,0.14
je~z,2,0.03
ke~,7,0.11
sy,10,0.15
RaR,1,0.02
bC,7,0.11
fi,5,0.08
dC,3,0.05
sif,10,0.15
kOm,1,0.02
bo,19,0.29
fu,8,0.12
ER,2,0.03
mEl,4,0.06
ZAb,2,0.03
jo,2,0.03
bag,1,0.02
ROk,1,0.02
d2j,1,0.02
mEm,17,0.26
Rum,1,0.02
vC,2,0.03
waz,14,0.22
taR,9,0.14
ZA,9,0.14
lEn,5,0.08
dif,1,0.02
pCS,2,0.03
vas,1,0.02
pu,1,0.02
bEl,4,0.06
nEz,1,0.02
RyS,1,0.02
pip,1,0.02
taZ,2,0.03
g9l,1,0.02
ton,1,0.02
bEt,1,0.02
n9R,11,0.17
HEt,3,0.05
lyt,8,0.12
sEj,1,0.02
gut,3,0.05
py,3,0.05
by,1,0.02
aj,1,0.02
sot,2,0.03
ne,32,0.49
ROg,1,0.02
baz,7,0.11
dik,1,0.02
Ru,2,0.03
nuz,5,0.08
z2R,1,0.02
lAS,3,0.05
RaZ,3,0.05
paR,3,0.05
mis,1,0.02
dyR,5,0.08
R9v,1,0.02
mAs,3,0.05
jAt,3,0.05
l9v,1,0.02
sES,3,0.05
viS,1,0.02
vej,1,0.02
Z2,3,0.05
Riv,5,0.08
lOm,8,0.12
pAS,1,0.02
jOn,1,0.02
sez,2,0.03
bEj,1,0.02
vAt,7,0.11
lAZ,1,0.02
fC,10,0.15
SAt,4,0.06
Rop,3,0.05
saZ,4,0.06
dOl,1,0.02
gal,1,0.02
ZEt,5,0.08
kul,2,0.03
vEz,3,0.05
lEm,3,0.05
fCd,2,0.03
be~,5,0.08
lin,1,0.02
nEl,7,0.11
vEt,2,0.03
2j,2,0.03
Zu,2,0.03
tav,1,0.02
ka,2,0.03
jez,6,0.09
tat,1,0.02
taf,1,0.02
muS,1,0.02
byz,1,0.02
dAt,6,0.09
lis,2,0.03
syk,1,0.02
fCz,1,0.02
lAg,2,0.03
nOR,2,0.03
d9j,6,0.09
m9R,2,0.03
s2R,3,0.05
am,6,0.09
pal,6,0.09
SER,6,0.09
g9R,5,0.08
vaZ,2,0.03
jOl,2,0.03
piR,9,0.14
bCd,3,0.05
mAz,6,0.09
tiv,5,0.08
wal,5,0.08
REn,2,0.03
lES,1,0.02
lam,9,0.14
tyd,7,0.11
t9j,1,0.02
dis,9,0.14
zif,1,0.02
kot,1,0.02
kaS,1,0.02
wat,5,0.08
vut,1,0.02
SAz,2,0.03
s9j,2,0.03
pEs,2,0.03
9R,1,0.02
t2R,1,0.02
d@,1,0.02
OR,1,0.02
lad,4,0.06
Sov,2,0.03
ge,6,0.09
SEn,3,0.05
Zil,2,0.03
jEn,3,0.05
vo,7,0.11
lyl,1,0.02
jAs,3,0.05
He~,2,0.03
k9j,3,0.05
Rok,1,0.02
ful,3,0.05
HaZ,1,0.02
kuS,2,0.03
sol,2,0.03
myz,2,0.03
mOd,2,0.03
kEl,1,0.02
Sat,1,0.02
mEv,1,0.02
Zit,1,0.02
dam,3,0.05
SEt,2,0.03
daj,1,0.02
sil,4,0.06
ga,1,0.02
mij,2,0.03
if,1,0.02
lik,4,0.06
taS,3,0.05
RER,3,0.05
tut,6,0.09
san,7,0.11
Hiz,1,0.02
wE,1,0.02
Zyp,1,0.02
So,1,0.02
we~z,1,0.02
nER,3,0.05
sAs,2,0.03
go,3,0.05
mus,2,0.03
byl,1,0.02
iz,3,0.05
ne~,1,0.02
moz,4,0.06
sEz,3,0.05
kit,1,0.02
fe,4,0.06
baj,1,0.02
tiz,1,0.02
min,3,0.05
pOS,1,0.02
as,1,0.02
Em,2,0.03
Ril,2,0.03
jOt,1,0.02
fEm,1,0.02
zAt,1,0.02
zuj,1,0.02
vaR,3,0.05
sis,1,0.02
lOp,1,0.02
son,1,0.02
mAS,1,0.02
siz,2,0.03
duz,1,0.02
laZ,1,0.02
Re~s,3,0.05
lyz,3,0.05
sCz,3,0.05
buZ,2,0.03
kil,1,0.02
del,1,0.02
REz,6,0.09
sAz,1,0.02
zyn,1,0.02
al,1,0.02
goS,1,0.02
vOl,3,0.05
REk,2,0.03
sak,2,0.03
jit,1,0.02
buR,1,0.02
sEl,2,0.03
HEz,2,0.03
s2,1,0.02
pol,1,0.02
mEn,1,0.02
naZ,1,0.02
kCk,2,0.03
sOn,1,0.02
dad,1,0.02
nEZ,5,0.08
lOZ,1,0.02
boz,2,0.03
Rap,1,0.02
was,1,0.02
nal,3,0.05
zis,1,0.02
dEn,1,0.02
wiR,2,0.03
viv,2,0.03
pe~,5,0.08
Ruz,1,0.02
tij,1,0.02
tiZ,4,0.06
kys,1,0.02
d@R,1,0.02
wi,2,0.03
mit,1,0.02
nEf,1,0.02
Et,2,0.03
Zak,2,0.03
kus,1,0.02
lEv,4,0.06
sid,2,0.03
da,3,0.05
g2j,3,0.05
bCt,1,0.02
kal,1,0.02
me~g,1,0.02
vot,1,0.02
Rod,1,0.02
bad,2,0.03
Rad,1,0.02
lCz,2,0.03
sEd,1,0.02
Rj,1,0.02
sEk,1,0.02
luR,1,0.02
biS,1,0.02
SaR,2,0.03
le~p,1,0.02
Ris,1,0.02
tyn,2,0.03
HE,1,0.02
kOs,2,0.03
C,2,0.03
vin,2,0.03
zoz,1,0.02
mEs,1,0.02
mez,1,0.02
ZiR,1,0.02
lim,1,0.02
su,1,0.02
t@j,1,0.02
2f,1,0.02
tus,3,0.05
tym,1,0.02
ZEz,1,0.02
bOl,1,0.02
iR,2,0.03
zil,2,0.03
@R,1,0.02
tin,2,0.03
lak,1,0.02
Som,1,0.02
kut,3,0.05
sOR,2,0.03
kaR,2,0.03
m2,1,0.02
pOR,1,0.02
tuS,2,0.03
laR,3,0.05
aZ,1,0.02
kyR,2,0.03
pEz,1,0.02
ROm,1,0.02
jEZ,1,0.02
dOn,1,0.02
tig,2,0.03
pCd,1,0.02
mAd,2,0.03
mys,1,0.02
fan,1,0.02
dEt,1,0.02
tys,3,0.05
no,2,0.03
byt,1,0.02
nik,1,0.02
Ze~,1,0.02
zy,1,0.02
g2z,1,0.02
n2z,1,0.02
ma,1,0.02
Rol,1,0.02
nim,1,0.02
pCt,1,0.02
lip,1,0.02
bim,1,0.02
g@R,1,0.02
vaj,1,0.02
Ron,3,0.05
Ct,1,0.02
jOR,1,0.02
HER,1,0.02
dit,3,0.05
val,1,0.02
gaZ,1,0.02
pyt,1,0.02
je~t,1,0.02
RCz,2,0.03
fin,1,0.02
zEt,1,0.02
RAz,1,0.02
tuf,1,0.02
kEz,1,0.02
Siz,1,0.02
ve~z,1,0.02
nyz,1,0.02
pe~z,1,0.02
mCt,1,0.02
RCp,2,0.03
S2,1,0.02
bOn,1,0.02
ZEn,1,0.02
b2,1,0.02
SCz,1,0.02
e~,1,0.02
kyv,1,0.02
zoS,1,0.02
ROb,1,0.02
kap,1,0.02
lyR,1,0.02
Ryd,1,0.02
zaz,1,0.02
mOm,1,0.02
pit,1,0.02
ZAt,1,0.02
Rut,1,0.02
sOm,1,0.02
m2R,1,0.02
Ram,1,0.02
ZyZ,1,0.02
Ral,1,0.02
paZ,1,0.02
Rim,1,0.02
pe~t,1,0.02
jan,1,0.02
mon,1,0.02
piz,1,0.02
tim,1,0.02
aR,1,0.02
vuR,1,0.02
beR,1,0.02
Roz,1,0.02
loR,1,0.02
tik,1,0.02
an,1,0.02
H2,1,0.02
