Syllabe,Occurrences,Pourcentage
Re~s,1,0.01
vis,4,0.03
vaj,7,0.05
dyz,6,0.04
lEt,16,0.11
tot,3,0.02
lEz,4,0.03
pit,2,0.01
d2j,5,0.04
zi,10,0.07
gan,1,0.01
p2z,1,0.01
tiR,24,0.17
vin,5,0.04
sip,1,0.01
buS,7,0.05
kut,3,0.02
da,10,0.07
duz,5,0.04
vaZ,8,0.06
mAs,6,0.04
se~t,10,0.07
vut,2,0.01
lu,6,0.04
wat,11,0.08
dCk,7,0.05
Z9n,5,0.04
mil,1,0.01
RAz,5,0.04
pid,9,0.06
tiv,4,0.03
zE,21,0.15
gut,6,0.04
wal,18,0.13
nj,21,0.15
gA,8,0.06
myR,22,0.15
taz,2,0.01
sil,3,0.02
vEj,14,0.1
luz,2,0.01
dyR,4,0.03
kuS,4,0.03
tOn,8,0.06
tym,8,0.06
Raz,7,0.05
nap,1,0.01
Za,21,0.15
fo,13,0.09
koz,2,0.01
ke~,3,0.02
Rut,7,0.05
mEt,4,0.03
kuR,11,0.08
mAz,13,0.09
jE,18,0.13
sEk,3,0.02
jez,18,0.13
RCt,10,0.07
liz,5,0.04
HEt,4,0.03
tyz,4,0.03
vAt,19,0.13
saZ,4,0.03
f9j,11,0.08
Ry,10,0.07
tig,3,0.02
kEt,1,0.01
yt,1,0.01
py,5,0.04
kC,9,0.06
E,2,0.01
gy,3,0.02
REs,7,0.05
fe,10,0.07
giR,2,0.01
lis,4,0.03
zAt,5,0.04
ky,9,0.06
Ras,8,0.06
poz,3,0.02
bas,2,0.01
fCt,5,0.04
pol,4,0.03
Z9R,9,0.06
Riz,27,0.19
dC,20,0.14
sAs,14,0.1
fij,1,0.01
waf,10,0.07
nEs,3,0.02
Zit,2,0.01
ful,6,0.04
do,12,0.08
zez,5,0.04
vit,8,0.06
siz,7,0.05
taS,4,0.03
lAz,6,0.04
mij,2,0.01
jo,3,0.02
s2R,22,0.15
nOs,1,0.01
gCz,1,0.01
ot,12,0.08
miz,5,0.04
dCz,2,0.01
pu,5,0.04
no,8,0.06
Rul,3,0.02
sOn,4,0.03
tut,11,0.08
bal,1,0.01
p9R,13,0.09
tEs,6,0.04
fAt,5,0.04
sOl,19,0.13
p2,17,0.12
lCb,3,0.02
viv,3,0.02
RaZ,6,0.04
pAt,10,0.07
ta,15,0.11
was,2,0.01
Rid,3,0.02
pis,3,0.02
vC,3,0.02
lyl,1,0.01
paZ,1,0.01
Syt,2,0.01
pe~,11,0.08
nEZ,13,0.09
bE,6,0.04
REj,13,0.09
va,10,0.07
pEt,10,0.07
sCZ,4,0.03
HER,2,0.01
my,6,0.04
i,16,0.11
sif,5,0.04
vCz,2,0.01
nit,10,0.07
zit,2,0.01
ZE,20,0.14
lAS,4,0.03
jom,1,0.01
Rim,6,0.04
se~z,2,0.01
mot,4,0.03
Ris,2,0.01
soz,3,0.02
maZ,8,0.06
sEd,3,0.02
mal,6,0.04
ZEm,1,0.01
ZAs,4,0.03
me~z,9,0.06
moz,9,0.06
kyn,1,0.01
viR,4,0.03
fCz,1,0.01
Riv,3,0.02
dEt,4,0.03
das,2,0.01
nEz,3,0.02
fit,3,0.02
g9l,1,0.01
Hin,3,0.02
ROk,11,0.08
t2,10,0.07
dAs,3,0.02
lak,19,0.13
H2z,2,0.01
did,2,0.01
niz,2,0.01
loz,9,0.06
Zu,14,0.1
bEs,4,0.03
du,16,0.11
ki,6,0.04
tAs,3,0.02
l2,13,0.09
jEd,3,0.02
Sez,7,0.05
pC,6,0.04
mid,4,0.03
SAt,6,0.04
OR,4,0.03
ROt,6,0.04
Rij,1,0.01
lCg,1,0.01
biz,4,0.03
muS,1,0.01
Ruv,3,0.02
ROS,9,0.06
pA,13,0.09
mEl,6,0.04
sAz,16,0.11
pik,3,0.02
luR,3,0.02
sin,3,0.02
dOg,1,0.01
REl,8,0.06
RuZ,1,0.01
ZAb,1,0.01
bi,6,0.04
mCt,2,0.01
kud,2,0.01
v2z,3,0.02
mCz,5,0.04
sEn,3,0.02
sit,2,0.01
SEt,3,0.02
vEz,2,0.01
pez,1,0.01
ZEt,8,0.06
ROl,5,0.04
gyR,3,0.02
a,3,0.02
RER,3,0.02
fAs,4,0.03
vil,2,0.01
HiR,8,0.06
fEt,6,0.04
sez,4,0.03
s9R,5,0.04
dus,1,0.01
fC,21,0.15
n2,4,0.03
sCz,5,0.04
sES,2,0.01
bin,1,0.01
tCz,1,0.01
wEt,1,0.01
mOl,1,0.01
kEl,3,0.02
Re~t,5,0.04
baz,3,0.02
fam,5,0.04
d2,14,0.1
kOl,1,0.01
al,3,0.02
RCd,1,0.01
tas,3,0.02
fin,1,0.01
tit,3,0.02
nEt,4,0.03
vEk,7,0.05
nal,7,0.05
jaZ,2,0.01
l2R,1,0.01
d2f,1,0.01
lOn,1,0.01
HEz,1,0.01
ZiR,2,0.01
wA,2,0.01
Zi,8,0.06
pin,2,0.01
Et,2,0.01
Soz,4,0.03
if,3,0.02
2f,1,0.01
zaZ,2,0.01
jz,5,0.04
pAz,2,0.01
bC,9,0.06
fCd,2,0.01
kOs,1,0.01
sEv,1,0.01
gu,6,0.04
Rin,3,0.02
SCz,3,0.02
Sap,3,0.02
kap,4,0.03
niS,1,0.01
HaZ,7,0.05
nOR,4,0.03
biS,2,0.01
wi,8,0.06
wad,1,0.01
dOn,6,0.04
tEm,2,0.01
min,1,0.01
nCz,3,0.02
je~z,6,0.04
na,13,0.09
vy,9,0.06
pal,2,0.01
za,3,0.02
jAs,4,0.03
kaZ,1,0.01
tus,4,0.03
vej,2,0.01
Ed,1,0.01
ROn,2,0.01
RaS,1,0.01
n9f,2,0.01
lit,4,0.03
Sov,1,0.01
mEs,1,0.01
Om,3,0.02
kaj,1,0.01
t2z,2,0.01
byS,1,0.01
foz,1,0.01
zEl,2,0.01
vAs,2,0.01
mAd,3,0.02
SER,6,0.04
jEZ,4,0.03
Sa,3,0.02
dut,13,0.09
Zez,2,0.01
fa,2,0.01
s2,4,0.03
tEz,7,0.05
ZyR,2,0.01
lEs,3,0.02
kyl,4,0.03
tAZ,4,0.03
zil,15,0.11
syR,5,0.04
sym,1,0.01
ziz,2,0.01
bAt,1,0.01
g9R,2,0.01
by,5,0.04
fik,1,0.01
zOn,2,0.01
lEv,6,0.04
vuz,5,0.04
bEt,1,0.01
ROZ,3,0.02
tom,3,0.02
lym,3,0.02
fAz,7,0.05
SEn,4,0.03
b2f,3,0.02
zAz,2,0.01
ve~z,3,0.02
le~t,1,0.01
go,5,0.04
RyR,1,0.01
ZC,6,0.04
pus,1,0.01
mit,2,0.01
sEl,9,0.06
zoz,3,0.02
bES,2,0.01
byt,3,0.02
mEd,2,0.01
zAs,2,0.01
ZER,1,0.01
nyz,3,0.02
pyt,1,0.01
REn,2,0.01
Ral,6,0.04
gOl,1,0.01
sal,2,0.01
Zil,2,0.01
He,3,0.02
ROb,1,0.01
viz,2,0.01
zEm,1,0.01
dyn,1,0.01
mez,4,0.03
Sin,1,0.01
diR,4,0.03
jOl,2,0.01
b9R,2,0.01
taj,2,0.01
daR,1,0.01
HA,1,0.01
zEt,4,0.03
le~z,1,0.01
kuz,2,0.01
Cd,3,0.02
Ryt,2,0.01
laz,1,0.01
fym,3,0.02
mun,1,0.01
fas,6,0.04
zOs,4,0.03
Hif,1,0.01
SAz,2,0.01
9R,3,0.02
Ram,2,0.01
lEb,1,0.01
bat,1,0.01
mAS,1,0.01
lEl,2,0.01
sOk,2,0.01
taZ,4,0.03
zCz,3,0.02
tol,1,0.01
buR,1,0.01
jyR,2,0.01
fEm,1,0.01
Raj,2,0.01
toz,1,0.01
zyn,1,0.01
lOb,5,0.04
RAp,1,0.01
gid,4,0.03
lad,1,0.01
fi,5,0.04
wiR,5,0.04
fos,2,0.01
RCs,2,0.01
vEt,4,0.03
ZCz,2,0.01
naR,2,0.01
div,2,0.01
ja,2,0.01
tis,3,0.02
tOm,1,0.01
zOR,2,0.01
lot,2,0.01
zym,1,0.01
zop,1,0.01
Ha,1,0.01
Rav,1,0.01
boz,4,0.03
zEz,1,0.01
Rup,1,0.01
k@,1,0.01
nik,3,0.02
mas,4,0.03
nOm,2,0.01
fyt,2,0.01
tyn,2,0.01
boS,1,0.01
jit,3,0.02
lab,1,0.01
gER,1,0.01
mAk,3,0.02
kCt,1,0.01
Som,2,0.01
kOk,1,0.01
RyS,1,0.01
sEj,1,0.01
kus,1,0.01
n2R,1,0.01
SEl,2,0.01
jOn,1,0.01
dal,1,0.01
pCs,1,0.01
pAS,1,0.01
nyt,1,0.01
dat,2,0.01
pe~z,3,0.02
ROm,4,0.03
dAz,1,0.01
jEs,1,0.01
je~t,1,0.01
SOk,1,0.01
dom,3,0.02
nOt,1,0.01
gC,1,0.01
He~z,1,0.01
sim,1,0.01
te~z,2,0.01
bEk,1,0.01
j9l,2,0.01
dif,2,0.01
taf,1,0.01
jEz,1,0.01
kid,1,0.01
lim,2,0.01
gi,2,0.01
zCd,1,0.01
wAt,1,0.01
lCZ,1,0.01
zuj,2,0.01
v9v,1,0.01
Reb,1,0.01
fAZ,2,0.01
giz,1,0.01
pEs,2,0.01
bol,1,0.01
vif,1,0.01
laR,1,0.01
zal,1,0.01
jet,1,0.01
kob,2,0.01
RiS,1,0.01
los,1,0.01
Sy,3,0.02
nop,1,0.01
noz,1,0.01
tuS,1,0.01
l2z,1,0.01
kaS,2,0.01
kot,1,0.01
kCz,1,0.01
diz,3,0.02
tat,1,0.01
kit,2,0.01
zyz,1,0.01
SAs,1,0.01
vaz,1,0.01
kOm,1,0.01
baR,1,0.01
wiz,1,0.01
nim,2,0.01
yn,1,0.01
l@,1,0.01
En,2,0.01
but,1,0.01
fid,1,0.01
p2t,2,0.01
yl,2,0.01
d@,1,0.01
l9v,3,0.02
fCs,1,0.01
sER,2,0.01
tos,1,0.01
lEm,2,0.01
Az,1,0.01
iz,2,0.01
n@,1,0.01
SAZ,1,0.01
pAs,1,0.01
kaR,1,0.01
zis,1,0.01
ys,1,0.01
kad,1,0.01
ZyZ,1,0.01
gaZ,1,0.01
ik,1,0.01
bEl,1,0.01
RaR,1,0.01
kCd,2,0.01
Ryl,1,0.01
ab,1,0.01
we~t,1,0.01
voz,1,0.01
REb,1,0.01
piz,1,0.01
sEz,1,0.01
bom,1,0.01
RAS,1,0.01
jeZ,1,0.01
AZ,1,0.01
zif,1,0.01
