Syllabe,Occurrences,Pourcentage
mEd,1,0.04
j2R,1,0.04
Rde,4,0.15
Rty,2,0.08
tAz,6,0.23
Rdy,4,0.15
dEm,1,0.04
fE,10,0.39
se~,7,0.27
RtEl,5,0.19
til,3,0.12
bo,12,0.46
bEk,2,0.08
pEt,4,0.15
sOl,3,0.12
bwa,3,0.12
fe~,4,0.15
m2z,2,0.08
Z9R,4,0.15
fje,1,0.04
pyR,2,0.08
pli,3,0.12
nHiz,2,0.08
p2,3,0.12
SA,9,0.35
vi,10,0.39
bR2z,4,0.15
fRE,4,0.15
sjC,15,0.58
niR,9,0.35
zEt,1,0.04
fam,2,0.08
sCZ,1,0.04
Rtil,1,0.04
fle,3,0.12
tRaZ,1,0.04
dji,1,0.04
lOm,2,0.08
blo,4,0.15
tRC,1,0.04
ta,2,0.08
RnEl,4,0.15
d2R,1,0.04
vRE,3,0.12
sje~,2,0.08
tjC,1,0.04
nEs,2,0.08
dA,7,0.27
sCz,1,0.04
fRES,1,0.04
fly,1,0.04
RmAz,1,0.04
pe~,1,0.04
fi,3,0.12
vag,1,0.04
ks9R,1,0.04
Rg2j,5,0.19
lik,5,0.19
val,1,0.04
ple~,5,0.19
kHiR,1,0.04
RwaR,5,0.19
mCz,1,0.04
gRe~,1,0.04
kRi,5,0.19
s9R,6,0.23
nj9R,1,0.04
ne,22,0.85
glo,2,0.08
bOR,3,0.12
ple,4,0.15
lA,6,0.23
tje~,2,0.08
bR2,3,0.12
pA,2,0.08
vje,1,0.04
fe,4,0.15
dCk,2,0.08
sEk,2,0.08
lOR,3,0.12
nje,6,0.23
um,1,0.04
Ze~,2,0.08
nwiR,3,0.12
fA,6,0.23
mwan,1,0.04
lje,10,0.39
me~z,1,0.04
fy,3,0.12
Rde~,1,0.04
n9f,2,0.08
tRu,2,0.08
fl9R,1,0.04
mi,9,0.35
RdC,4,0.15
sC,9,0.35
swe~,1,0.04
tik,1,0.04
Rut,1,0.04
vRAt,1,0.04
pRE,2,0.08
pje,4,0.15
Rjoz,2,0.08
gRE,1,0.04
dHi,1,0.04
zEm,2,0.08
zj2z,4,0.15
d2,1,0.04
nE,9,0.35
lu,1,0.04
dAz,3,0.12
RdE,2,0.08
po,6,0.23
nEt,2,0.08
d9j,2,0.08
Rfid,1,0.04
RmyR,2,0.08
baR,1,0.04
jaZ,1,0.04
j2z,2,0.08
ply,10,0.39
Rse,3,0.12
mHe,1,0.04
Si,1,0.04
ljez,2,0.08
s9l,5,0.19
zu,2,0.08
ly,4,0.15
Ct,2,0.08
kEl,3,0.12
vo,2,0.08
ge,2,0.08
ke~,3,0.12
mHEt,1,0.04
nEZ,1,0.04
Rje,2,0.08
sfER,1,0.04
Rni,2,0.08
jA,4,0.15
kloz,1,0.04
nez,3,0.12
tyR,2,0.08
REn,1,0.04
ziR,19,0.73
RsA,1,0.04
Raj,2,0.08
nA,9,0.35
staz,1,0.04
fCt,3,0.12
v9R,2,0.08
ZAb,2,0.08
lHil,1,0.04
le~,2,0.08
poz,2,0.08
tER,2,0.08
zE,3,0.12
bRe~,1,0.04
sEt,4,0.15
zOR,4,0.15
Rso,1,0.04
nwa,1,0.04
aR,1,0.04
dit,1,0.04
pEl,1,0.04
dwe,1,0.04
RnCz,1,0.04
laR,2,0.08
Rmin,1,0.04
tEt,7,0.27
bRi,3,0.12
ti,11,0.43
Rj2,2,0.08
laS,2,0.08
nwaR,7,0.27
zaR,4,0.15
tut,2,0.08
Rmi,3,0.12
j2,5,0.19
i,2,0.08
lAt,2,0.08
bC,6,0.23
ZEm,1,0.04
lH9R,3,0.12
d2z,1,0.04
Rmez,1,0.04
s2z,1,0.04
l2j,2,0.08
lER,4,0.15
am,4,0.15
RmA,6,0.23
te~,11,0.43
bEn,2,0.08
m9R,2,0.08
ptil,1,0.04
bi,3,0.12
tRE,2,0.08
gal,3,0.12
REz,3,0.12
tak,2,0.08
bEt,2,0.08
gRAd,1,0.04
stAs,1,0.04
buS,1,0.04
RaZ,1,0.04
mAz,2,0.08
sd2z,1,0.04
lOp,1,0.04
sje,2,0.08
ste,4,0.15
bZE,1,0.04
RkOm,1,0.04
dE,2,0.08
dEt,1,0.04
n2R,1,0.04
Sez,2,0.08
skyR,3,0.12
sOR,2,0.08
g9R,2,0.08
Rv9R,2,0.08
Ra,18,0.7
vj2z,1,0.04
plit,1,0.04
sER,2,0.08
Ry,4,0.15
Rwa,6,0.23
lkC,1,0.04
du,4,0.15
twa,9,0.35
RmE,4,0.15
RSe,5,0.19
vez,1,0.04
gRe,3,0.12
tjER,2,0.08
RtA,2,0.08
pse,1,0.04
lj2,4,0.15
njaR,2,0.08
nEl,3,0.12
dRa,2,0.08
REj,5,0.19
dy,4,0.15
ki,3,0.12
ZE,1,0.04
vu,1,0.04
mER,9,0.35
fEt,2,0.08
Zwa,3,0.12
vwa,5,0.19
tHEl,2,0.08
vE,3,0.12
dje~,1,0.04
vAt,5,0.19
pjEZ,1,0.04
it,1,0.04
lte,1,0.04
jRaR,1,0.04
n9R,5,0.19
zC,11,0.43
nOR,1,0.04
tiv,1,0.04
fOl,1,0.04
pi,3,0.12
m2,2,0.08
Rsi,1,0.04
k9R,1,0.04
pOR,2,0.08
E,2,0.08
n2,2,0.08
vj2,2,0.08
viv,1,0.04
vEj,3,0.12
kwe~,6,0.23
sal,1,0.04
Rk9j,1,0.04
dte~,1,0.04
jAt,1,0.04
gaR,3,0.12
Rj2z,3,0.12
gy,1,0.04
duz,3,0.12
van,2,0.08
vAs,1,0.04
su,1,0.04
zA,9,0.35
nu,4,0.15
sjER,4,0.15
bRij,1,0.04
RCZ,2,0.08
o,6,0.23
Rte,4,0.15
be,1,0.04
tRe,2,0.08
jER,1,0.04
gRa,1,0.04
tOn,3,0.12
tCb,1,0.04
fRC,3,0.12
de~,2,0.08
Rit,3,0.12
mC,4,0.15
dEl,2,0.08
flE,1,0.04
Zwe~,1,0.04
tus,5,0.19
an,1,0.04
fjA,2,0.08
sot,1,0.04
na,1,0.04
nj,5,0.19
pl2,1,0.04
Ol,1,0.04
So,4,0.15
zER,2,0.08
RSA,1,0.04
kil,1,0.04
sEn,2,0.08
Rne,2,0.08
dRE,1,0.04
mAs,5,0.19
gC,2,0.08
bu,6,0.23
Em,1,0.04
pte,2,0.08
bRA,1,0.04
ZAd,1,0.04
ske,1,0.04
REv,1,0.04
tREt,1,0.04
glOb,1,0.04
pj2z,1,0.04
RvAz,1,0.04
l2z,2,0.08
sjAs,1,0.04
RvaZ,1,0.04
Zez,2,0.08
dtOR,3,0.12
bRym,2,0.08
do,4,0.15
fR2,1,0.04
fwEt,1,0.04
mEn,1,0.04
nC,5,0.19
pRe~s,1,0.04
twaR,1,0.04
gRas,2,0.08
mEm,1,0.04
mj2z,1,0.04
njC,3,0.12
vuz,1,0.04
RHin,1,0.04
lEt,2,0.08
no,1,0.04
e,1,0.04
swaf,4,0.15
vwe,1,0.04
klOS,1,0.04
jEs,1,0.04
lda,1,0.04
pE,2,0.08
flo,1,0.04
Ro,2,0.08
Z2,1,0.04
mid,2,0.08
dwaR,1,0.04
ji,2,0.08
kC,3,0.12
pt9R,1,0.04
Sje~,1,0.04
RAt,5,0.19
Rpe,1,0.04
luR,2,0.08
mHE,3,0.12
lEz,1,0.04
pRiz,2,0.08
gwas,1,0.04
tRuv,1,0.04
vid,4,0.15
sCt,1,0.04
Ryz,1,0.04
pjet,1,0.04
Rby,1,0.04
plyz,1,0.04
to,8,0.31
lfid,1,0.04
vOR,2,0.08
RmEm,1,0.04
RbC,2,0.08
dto,1,0.04
dil,1,0.04
lAz,1,0.04
El,2,0.08
mo,2,0.08
Rvoz,1,0.04
toz,2,0.08
pAs,1,0.04
t9R,4,0.15
RsE,1,0.04
blOk,1,0.04
vaj,2,0.08
gA,1,0.04
lme,1,0.04
nik,2,0.08
lsif,1,0.04
Rje~,1,0.04
gREs,1,0.04
psA,2,0.08
RsOn,1,0.04
kyz,1,0.04
Zon,2,0.08
kwe,1,0.04
pwal,2,0.08
RnyR,1,0.04
gE,1,0.04
nER,1,0.04
doz,1,0.04
stER,2,0.08
ZwA,1,0.04
nH2,1,0.04
is,1,0.04
ez,1,0.04
ka,2,0.08
flA,2,0.08
tRuz,2,0.08
Rve,1,0.04
vwaz,1,0.04
tRi,2,0.08
pu,1,0.04
jEt,1,0.04
bad,1,0.04
kse,1,0.04
gRif,1,0.04
tu,2,0.08
vin,1,0.04
sa,1,0.04
spe,1,0.04
sin,1,0.04
fHi,1,0.04
RmAt,1,0.04
plis,1,0.04
sjA,1,0.04
ljER,1,0.04
fREj,1,0.04
ROb,2,0.08
dC,2,0.08
pRAt,1,0.04
vC,2,0.08
lpe~,1,0.04
lse,1,0.04
fCz,1,0.04
kE,2,0.08
ZA,1,0.04
ja,1,0.04
bal,1,0.04
Zu,1,0.04
sif,5,0.19
RCt,1,0.04
lCz,1,0.04
kRe~,3,0.12
RtiZ,2,0.08
RsEl,1,0.04
lsot,1,0.04
At,1,0.04
bEl,2,0.08
jo,2,0.08
lpa,1,0.04
tiz,1,0.04
tif,2,0.08
mEj,1,0.04
lfC,1,0.04
t9j,1,0.04
bl2,2,0.08
R2z,1,0.04
plEn,1,0.04
glA,3,0.12
kRiR,1,0.04
zCz,1,0.04
Ral,1,0.04
Riz,1,0.04
mjER,2,0.08
lfo,1,0.04
sH9R,1,0.04
pwe~t,2,0.08
Om,2,0.08
tRin,1,0.04
mj2,1,0.04
zuj,1,0.04
dRe,1,0.04
fREl,1,0.04
flam,2,0.08
buR,1,0.04
gRuj,1,0.04
njAt,1,0.04
dCz,1,0.04
k2R,1,0.04
Rnu,1,0.04
Rte~,2,0.08
zik,1,0.04
tRA,1,0.04
pwaR,2,0.08
tjEd,1,0.04
zjC,2,0.08
blA,1,0.04
j9R,1,0.04
pEz,2,0.08
mCd,1,0.04
dut,1,0.04
Sos,1,0.04
kR2,1,0.04
ZjC,2,0.08
fAs,1,0.04
nys,5,0.19
vEt,2,0.08
Rti,1,0.04
lfOR,1,0.04
tyd,2,0.08
pjER,1,0.04
kRe,1,0.04
gRat,1,0.04
miz,1,0.04
kwA,2,0.08
mje,1,0.04
SAt,2,0.08
lkA,1,0.04
SER,1,0.04
vAz,1,0.04
ste~,1,0.04
RSAt,1,0.04
vy,3,0.12
pRe,1,0.04
fwE,1,0.04
zez,1,0.04
b9R,1,0.04
lkov,1,0.04
tEn,2,0.08
kul,2,0.08
bwaR,1,0.04
mus,1,0.04
Es,1,0.04
2,1,0.04
njEz,1,0.04
ne~,1,0.04
siz,1,0.04
RjC,1,0.04
Zwe,1,0.04
RlA,1,0.04
nHe,1,0.04
k2,1,0.04
Rki,1,0.04
dOn,1,0.04
Rtin,1,0.04
vRiz,1,0.04
RfE,1,0.04
vRe,3,0.12
RtAt,1,0.04
tREs,1,0.04
zoz,1,0.04
kRaZ,1,0.04
ttCt,1,0.04
fjEl,1,0.04
nAz,1,0.04
pliR,1,0.04
vil,2,0.08
gzil,1,0.04
pR2z,1,0.04
RAs,1,0.04
Sa,1,0.04
plE,1,0.04
dyz,1,0.04
njaz,1,0.04
ksiR,1,0.04
bRAt,1,0.04
byt,1,0.04
tRAZ,1,0.04
diR,1,0.04
SEt,1,0.04
fAt,2,0.08
gRAt,1,0.04
RtC,1,0.04
kyn,1,0.04
fHiR,1,0.04
Rtyn,1,0.04
yn,1,0.04
Zut,1,0.04
sit,1,0.04
lHe,1,0.04
kjez,1,0.04
Rtut,1,0.04
klav,1,0.04
Zwi,1,0.04
zOn,1,0.04
plym,1,0.04
Rdiz,1,0.04
ZjA,1,0.04
tHER,1,0.04
tRa,1,0.04
l2,1,0.04
dis,2,0.08
bl2z,2,0.08
dj2z,1,0.04
tin,1,0.04
lyn,1,0.04
vje~,1,0.04
zwi,1,0.04
jAs,1,0.04
sHav,1,0.04
zit,1,0.04
AZ,1,0.04
tjAt,1,0.04
pC,1,0.04
ku,1,0.04
bim,1,0.04
maR,1,0.04
jkOm,1,0.04
laj,1,0.04
Rvo,1,0.04
ful,1,0.04
mwe~z,1,0.04
Rwas,1,0.04
vyz,1,0.04
vRA,1,0.04
ROn,1,0.04
tuf,1,0.04
jE,1,0.04
Rdit,1,0.04
Rtiz,1,0.04
suR,1,0.04
Rwaz,1,0.04
bje,1,0.04
myn,1,0.04
a,1,0.04
RpAS,1,0.04
njE,1,0.04
tRiz,1,0.04
vEn,1,0.04
Rkul,1,0.04
lfit,1,0.04
pRit,1,0.04
za,1,0.04
taS,1,0.04
gER,1,0.04
stOR,1,0.04
Sas,1,0.04
Rvu,1,0.04
RHiR,1,0.04
pip,1,0.04
RjEt,1,0.04
