Syllabe,Occurrences,Pourcentage
m9R,2,0.08
bi,3,0.12
gal,3,0.12
REz,3,0.12
tak,2,0.08
bEt,2,0.08
RAd,1,0.04
tAs,1,0.04
buS,1,0.04
lOp,1,0.04
ZE,2,0.08
dEt,1,0.04
n2R,1,0.04
Sez,2,0.08
kyR,3,0.12
sOR,2,0.08
g9R,2,0.08
Ra,24,0.98
lit,1,0.04
sER,2,0.08
Ry,4,0.16
kC,4,0.16
du,4,0.16
ke,5,0.2
vez,1,0.04
jER,11,0.45
jaR,5,0.2
REj,6,0.24
ki,4,0.16
vu,2,0.08
mER,9,0.37
fEt,2,0.08
HEl,2,0.08
vE,3,0.12
vAt,5,0.2
jEZ,1,0.04
it,1,0.04
RaR,1,0.04
n9R,5,0.2
zC,11,0.45
nOR,1,0.04
tiv,1,0.04
vEk,8,0.33
fOl,1,0.04
pi,3,0.12
m2,2,0.08
k9R,1,0.04
pOR,2,0.08
E,2,0.08
n2,2,0.08
viv,1,0.04
vEj,3,0.12
sal,1,0.04
k9j,1,0.04
tiR,4,0.16
jAt,3,0.12
gaR,3,0.12
lAs,4,0.16
waz,4,0.16
gy,1,0.04
duz,3,0.12
van,2,0.08
vAs,1,0.04
su,1,0.04
zA,9,0.37
nu,5,0.2
Rij,1,0.04
RCZ,2,0.08
o,6,0.24
f2,6,0.24
be,1,0.04
tOn,3,0.12
tCb,1,0.04
Rit,4,0.16
mC,4,0.16
dEl,2,0.08
tus,5,0.2
an,1,0.04
sot,2,0.08
na,1,0.04
nj,5,0.2
l2,4,0.16
Ol,1,0.04
So,4,0.16
zER,2,0.08
kil,1,0.04
sEn,2,0.08
mAs,5,0.2
gC,2,0.08
bu,6,0.24
Em,1,0.04
ZAd,1,0.04
REv,1,0.04
miR,1,0.04
lOb,1,0.04
vAz,2,0.08
l2z,4,0.16
jAs,2,0.08
vaZ,1,0.04
Zez,2,0.08
tOR,4,0.16
Rym,2,0.08
do,4,0.16
wEt,1,0.04
mEn,1,0.04
nC,5,0.2
Re~s,1,0.04
Ras,2,0.08
mEm,2,0.08
vuz,1,0.04
Hin,1,0.04
lEt,2,0.08
no,1,0.04
e,1,0.04
waf,4,0.16
lOS,1,0.04
jEs,1,0.04
da,1,0.04
pE,5,0.2
Ro,2,0.08
Z2,1,0.04
mid,2,0.08
luR,2,0.08
sAt,7,0.29
HE,3,0.12
lEz,1,0.04
Riz,5,0.2
was,2,0.08
Ruv,1,0.04
vid,4,0.16
sCt,1,0.04
Ryz,1,0.04
jet,1,0.04
by,1,0.04
lyz,1,0.04
to,9,0.37
vOR,2,0.08
tu,4,0.16
dil,1,0.04
lAz,1,0.04
El,2,0.08
mo,2,0.08
voz,1,0.04
Et,1,0.04
toz,2,0.08
pAs,1,0.04
lOk,1,0.04
vaj,2,0.08
gA,1,0.04
t2,1,0.04
nik,2,0.08
sif,6,0.24
REs,2,0.08
sOn,1,0.04
kyz,1,0.04
Zon,2,0.08
wal,2,0.08
nyR,1,0.04
gE,1,0.04
nER,1,0.04
doz,1,0.04
wA,3,0.12
H2,1,0.04
is,1,0.04
ez,1,0.04
ka,2,0.08
Ruz,2,0.08
pu,1,0.04
jEt,2,0.08
bad,1,0.04
Rif,1,0.04
vin,1,0.04
sa,1,0.04
sin,1,0.04
lis,1,0.04
ROb,2,0.08
piR,3,0.12
vC,2,0.08
fCz,1,0.04
kE,2,0.08
ZA,1,0.04
ja,1,0.04
bal,1,0.04
Zu,1,0.04
RCt,1,0.04
lCz,1,0.04
tiZ,2,0.08
sEl,1,0.04
At,1,0.04
bEl,2,0.08
jo,2,0.08
tiz,2,0.08
tif,2,0.08
mEj,1,0.04
t9j,1,0.04
lEn,1,0.04
zCz,1,0.04
Ral,1,0.04
tAt,4,0.16
fo,1,0.04
we~t,2,0.08
Om,2,0.08
Rin,1,0.04
zuj,1,0.04
REl,2,0.08
lam,2,0.08
buR,1,0.04
Ruj,1,0.04
dCz,1,0.04
k2R,1,0.04
zik,1,0.04
jEd,1,0.04
ma,4,0.16
pEz,2,0.08
mCd,1,0.04
dut,1,0.04
te~z,2,0.08
Sos,1,0.04
fAs,1,0.04
nys,5,0.2
vEt,2,0.08
tyd,2,0.08
Rat,1,0.04
miz,1,0.04
lEm,1,0.04
SAt,3,0.12
kA,1,0.04
SER,1,0.04
vy,3,0.12
wE,1,0.04
zez,1,0.04
b9R,1,0.04
kov,1,0.04
tEn,2,0.08
kul,3,0.12
mus,1,0.04
Es,1,0.04
2,1,0.04
jEz,1,0.04
ne~,1,0.04
siz,1,0.04
k2,1,0.04
dOn,1,0.04
tin,2,0.08
zoz,1,0.04
tCt,1,0.04
nAz,1,0.04
liR,1,0.04
vil,2,0.08
zil,1,0.04
RAs,1,0.04
Sa,1,0.04
dyz,1,0.04
s2,1,0.04
jaz,1,0.04
siR,1,0.04
byt,1,0.04
RAZ,1,0.04
diR,1,0.04
SEt,1,0.04
fAt,2,0.08
kyn,1,0.04
tyn,1,0.04
yn,1,0.04
Zut,1,0.04
sit,1,0.04
lav,1,0.04
wi,2,0.08
zOn,1,0.04
lym,1,0.04
diz,1,0.04
HER,1,0.04
dis,2,0.08
lyn,1,0.04
Hav,1,0.04
zit,1,0.04
AZ,1,0.04
pC,1,0.04
ku,1,0.04
bim,1,0.04
pas,2,0.08
maR,1,0.04
laj,1,0.04
ful,1,0.04
we~z,1,0.04
vyz,1,0.04
ROn,1,0.04
tuf,1,0.04
jE,2,0.08
suR,1,0.04
myn,1,0.04
a,1,0.04
pAS,1,0.04
vEn,1,0.04
fit,1,0.04
za,1,0.04
taS,1,0.04
jal,1,0.04
gER,1,0.04
Sas,1,0.04
pip,1,0.04
