Syllabe,Occurrences,Pourcentage
mA,395,1.56
muR,72,0.28
ge,18,0.07
stA,13,0.05
bwa,53,0.21
lu,14,0.06
fam,24,0.09
Ry,28,0.11
Rit,14,0.06
Sin,1,0.0
Rj2,41,0.16
fR2z,6,0.02
gRe~,5,0.02
lER,49,0.19
se~z,5,0.02
sin,6,0.02
kRe,40,0.16
dwa,21,0.08
Ra,93,0.37
RdC,9,0.04
sif,43,0.17
glA,13,0.05
lHi,107,0.42
gal,14,0.06
tif,11,0.04
jCz,16,0.06
glo,9,0.04
RHi,29,0.11
sC,111,0.44
Rj2z,19,0.08
RnA,3,0.01
st9R,5,0.02
RC,77,0.3
miz,12,0.05
ble,25,0.1
REj,28,0.11
tus,29,0.11
zER,22,0.09
kEl,23,0.09
tRu,11,0.04
mHE,8,0.03
pREz,7,0.03
So,11,0.04
Roz,23,0.09
RsAt,2,0.01
jaR,26,0.1
vje~t,14,0.06
nj9R,33,0.13
ka,6,0.02
glEv,7,0.03
Ro,33,0.13
2,28,0.11
ske,6,0.02
bOR,27,0.11
ZA,27,0.11
lOm,66,0.26
til,44,0.17
tRo,8,0.03
de,56,0.22
fjER,9,0.04
RpEn,2,0.01
vo,39,0.15
ZuR,179,0.71
pRE,53,0.21
mEs,6,0.02
mwe~,23,0.09
kot,1,0.0
naj,2,0.01
pal,14,0.06
zik,6,0.02
bo,75,0.3
Rfe~,22,0.09
flA,17,0.07
kC,4,0.02
Rbez,2,0.01
be,35,0.14
fu,16,0.06
RA,102,0.4
Rvag,1,0.0
fHi,16,0.06
Rli,3,0.01
tez,13,0.05
twa,66,0.26
RRAz,2,0.01
gRA,48,0.19
Rde,29,0.11
Re,193,0.76
nal,12,0.05
kE,8,0.03
pAz,3,0.01
R9R,108,0.43
kOR,20,0.08
nj,53,0.21
gyR,13,0.05
kRE,10,0.04
ziR,21,0.08
dy,28,0.11
koz,4,0.02
fe~,50,0.2
lda,20,0.08
ly,23,0.09
lH9R,41,0.16
lAs,22,0.09
RSAZ,1,0.0
plEt,7,0.03
kREz,2,0.01
sje,17,0.07
nEZ,16,0.06
mCz,16,0.06
Rop,3,0.01
tER,83,0.33
jAz,7,0.03
nAt,20,0.08
te~,52,0.21
sd2,9,0.04
dtu,2,0.01
stER,8,0.03
bliR,3,0.01
gRE,10,0.04
pwe~,75,0.3
pCt,2,0.01
tRuz,2,0.01
stAt,4,0.02
fHit,7,0.03
Rjo,4,0.02
dyR,9,0.04
dRE,10,0.04
ZE,24,0.09
bRym,15,0.06
SOk,11,0.04
RtA,34,0.13
RwaZ,2,0.01
tRC,4,0.02
vE,92,0.36
n@,1,0.0
mEt,14,0.06
vj2,16,0.06
ZwiR,6,0.02
le~p,4,0.02
R@,1,0.0
El,16,0.06
sAs,16,0.06
mEz,18,0.07
Rbo,7,0.03
lo,30,0.12
tje,69,0.27
se~,50,0.2
Rme,28,0.11
nHe,24,0.09
nyk,1,0.0
blez,4,0.02
fRu,1,0.0
zA,69,0.27
dE,37,0.15
bje~,57,0.23
ple,5,0.02
Rpa,4,0.02
k9R,34,0.13
lEv,7,0.03
Rvi,4,0.02
ROk,14,0.06
fE,105,0.41
fRe,7,0.03
Rk2,1,0.0
nHaZ,11,0.04
v2,30,0.12
ke,23,0.09
kil,7,0.03
swaR,52,0.21
miR,14,0.06
dOR,17,0.07
swaf,9,0.04
jA,155,0.61
fo,11,0.04
twal,13,0.05
Rje,22,0.09
plA,4,0.02
vOl,21,0.08
n2,10,0.04
pi,8,0.03
dAt,11,0.04
ku,54,0.21
ste,18,0.07
me,55,0.22
kCt,4,0.02
mAz,24,0.09
RnEl,33,0.13
fER,69,0.27
nyl,6,0.02
pjC,4,0.02
ve,100,0.4
baz,20,0.08
lAt,17,0.07
myz,3,0.01
paz,59,0.23
plE,19,0.08
t@,3,0.01
RE,180,0.71
v9R,21,0.08
zu,6,0.02
kwe,3,0.01
A,77,0.3
njER,4,0.02
s9j,20,0.08
pin,7,0.03
to,39,0.15
dje~,6,0.02
RtEl,8,0.03
bwaz,14,0.06
tC,29,0.11
oz,9,0.04
fil,35,0.14
jE,49,0.19
tREz,2,0.01
lam,17,0.07
gaR,46,0.18
mC,37,0.15
lak,5,0.02
bR2,30,0.12
tyR,37,0.15
kRiz,5,0.02
SEn,11,0.04
bRe,3,0.01
lwe~,63,0.25
ZjC,25,0.1
fRCt,14,0.06
ttaZ,1,0.0
de~,21,0.08
paR,31,0.12
Za,20,0.08
Et,17,0.07
pje,57,0.23
vje,15,0.06
RiR,52,0.21
gRas,10,0.04
ROl,8,0.03
dt2,9,0.04
RtCb,2,0.01
jvid,1,0.0
Rdus,1,0.0
jER,10,0.04
bRyt,4,0.02
SaR,10,0.04
piz,2,0.01
nEt,27,0.11
RAp,7,0.03
mHEz,3,0.01
s2R,16,0.06
Rde~,11,0.04
dREs,5,0.02
Rs2,2,0.01
lEz,14,0.06
dez,1,0.0
sy,38,0.15
di,151,0.6
2j,9,0.04
pwe~t,13,0.05
RtC,4,0.02
vwaz,9,0.04
sAt,28,0.11
gje,1,0.0
jal,7,0.03
lEt,29,0.11
zAz,12,0.05
nOm,4,0.02
do,15,0.06
vAt,35,0.14
RkE,1,0.0
pC,13,0.05
Rne,17,0.07
gREk,3,0.01
zE,56,0.22
RpA,4,0.02
ve~t,7,0.03
dRam,4,0.02
mHe,8,0.03
tot,3,0.01
dig,5,0.02
lfo,22,0.09
sEl,10,0.04
twaR,11,0.04
j9R,11,0.04
Rte,92,0.36
gRav,11,0.04
vRE,45,0.18
i,36,0.14
Rla,12,0.05
blo,1,0.0
lke~,24,0.09
ZwEt,1,0.0
tAz,27,0.11
Rdi,9,0.04
dit,32,0.13
so,28,0.11
swa,31,0.12
nEf,4,0.02
tRE,12,0.05
spE,12,0.05
Rud,2,0.01
dji,14,0.06
gER,15,0.06
njaR,4,0.02
voz,6,0.02
zjo,1,0.0
pRe~,2,0.01
Ol,4,0.02
spA,2,0.01
gliz,7,0.03
pRe,9,0.04
pER,19,0.08
dEl,5,0.02
tit,13,0.05
pA,26,0.1
lis,8,0.03
tjER,13,0.05
tRAZ,9,0.04
Rj9R,12,0.05
Zaz,1,0.0
ROR,24,0.09
nwi,24,0.09
du,17,0.07
mjEl,3,0.01
vif,3,0.01
lyl,1,0.0
kaZ,5,0.02
Rwat,17,0.07
Rg2j,15,0.06
lwaR,30,0.12
2z,15,0.06
tRin,3,0.01
SAt,22,0.09
ZAt,6,0.02
pli,36,0.14
k9j,9,0.04
tRe,43,0.17
njE,6,0.02
Rda,5,0.02
aS,6,0.02
RfEz,6,0.02
djER,4,0.02
sOR,32,0.13
dtEv,1,0.0
kwe~,15,0.06
flam,20,0.08
vy,37,0.15
mvOl,1,0.0
lAz,1,0.0
mEj,7,0.03
lCb,5,0.02
b9R,4,0.02
vaj,19,0.08
Rty,9,0.04
blCd,1,0.0
pRit,13,0.05
nEs,3,0.01
lZA,2,0.01
fiR,3,0.01
sjCz,13,0.05
sle,1,0.0
Riv,9,0.04
t9R,32,0.13
ji,11,0.04
syR,8,0.03
dRC,9,0.04
klin,2,0.01
kRan,5,0.02
Rsil,5,0.02
spEt,2,0.01
mCt,13,0.05
Sje~,10,0.04
mwaz,4,0.02
RdA,23,0.09
p9R,37,0.15
vje~,78,0.31
ssA,2,0.01
SiR,10,0.04
m2t,3,0.01
Rti,22,0.09
vit,10,0.04
Zwa,48,0.19
RsOn,3,0.01
b2f,8,0.03
RjC,5,0.02
vu,77,0.3
jz,20,0.08
pREs,1,0.0
RmAt,7,0.03
bHe~,6,0.02
lpas,1,0.0
mjez,5,0.02
kA,11,0.04
zaR,26,0.1
Sy,2,0.01
sCZ,13,0.05
Zwi,1,0.0
RZil,5,0.02
daR,3,0.01
zoz,3,0.01
fOl,5,0.02
kwa,43,0.17
skuR,3,0.01
SE,19,0.08
fRiR,7,0.03
fEt,40,0.16
diR,20,0.08
fRCz,3,0.01
fi,25,0.1
pEn,14,0.06
Ris,4,0.02
fAt,21,0.08
fos,9,0.04
RmiR,11,0.04
bli,7,0.03
zOR,8,0.03
dEt,18,0.07
moz,13,0.05
pEt,14,0.06
ta,33,0.13
lte,5,0.02
Rtu,28,0.11
e,17,0.07
bim,28,0.11
bEl,15,0.06
toz,5,0.02
bREz,4,0.02
plat,1,0.0
Si,6,0.02
Ru,16,0.06
RkuR,1,0.0
nit,22,0.09
fCz,4,0.02
bHi,1,0.0
vis,12,0.05
am,25,0.1
vwal,4,0.02
but,6,0.02
dto,4,0.02
Zu,16,0.06
se~t,12,0.05
zwe~,15,0.06
klER,31,0.12
dus,5,0.02
Rte~,3,0.01
bR2z,7,0.03
dRe,8,0.03
m2z,4,0.02
RCt,11,0.04
ke~,19,0.08
nOR,8,0.03
stij,1,0.0
vRAt,3,0.01
kwA,3,0.01
if,4,0.02
maj,1,0.0
Rtiz,2,0.01
sad,3,0.01
Rvo,7,0.03
tjC,8,0.03
Rle,25,0.1
RmEj,9,0.04
klOR,3,0.01
tRa,9,0.04
pEl,7,0.03
Rfas,3,0.01
RlE,8,0.03
viz,3,0.01
Ras,9,0.04
Ruj,1,0.0
klu,2,0.01
dje,5,0.02
lEZ,1,0.0
tjCz,3,0.01
tRal,2,0.01
lgER,1,0.0
Rl9R,1,0.0
ZwE,5,0.02
my,13,0.05
lyn,8,0.03
RdAt,3,0.01
pid,8,0.03
pAS,4,0.02
lyt,10,0.04
njA,10,0.04
nim,2,0.01
lAZ,4,0.02
tHER,3,0.01
mHEt,7,0.03
dtEl,5,0.02
Rpij,1,0.0
tje~,25,0.1
vin,3,0.01
va,48,0.19
RZe,16,0.06
Sof,2,0.01
kOd,2,0.01
gRe,22,0.09
j2R,3,0.01
me~z,9,0.04
z9R,2,0.01
Rse,19,0.08
fOR,24,0.09
gA,20,0.08
RsEl,7,0.03
ma,18,0.07
RtiR,24,0.09
bEt,17,0.07
tRi,10,0.04
pliR,3,0.01
sOl,6,0.02
ljEf,2,0.01
boS,3,0.01
ktyR,2,0.01
fas,13,0.05
Rtus,6,0.02
lt9R,5,0.02
le~,15,0.06
diz,12,0.05
ldat,2,0.01
nCz,4,0.02
REs,7,0.03
tiR,15,0.06
m9R,26,0.1
tOR,4,0.02
fy,27,0.11
Rom,5,0.02
be~z,1,0.0
aR,3,0.01
bas,2,0.01
zjCz,3,0.01
n2z,4,0.02
ne~,3,0.01
fwiR,1,0.0
piR,20,0.08
Zje,1,0.0
tig,5,0.02
pHi,19,0.08
pCp,1,0.0
mAt,59,0.23
vEt,17,0.07
lOR,19,0.08
ZwA,2,0.01
vRA,13,0.05
Zwe,5,0.02
vCz,6,0.02
kuR,16,0.06
kul,4,0.02
ktu,1,0.0
lEn,7,0.03
bik,2,0.01
bom,1,0.0
RsE,4,0.02
gRAt,5,0.02
tom,11,0.04
RZu,1,0.0
ER,2,0.01
nyz,6,0.02
las,24,0.09
bat,5,0.02
RAs,15,0.06
fRap,5,0.02
lj2z,6,0.02
RjE,11,0.04
mon,5,0.02
pRA,21,0.08
jaZ,4,0.02
kloz,2,0.01
tEn,11,0.04
tEs,4,0.02
mAk,2,0.01
bRAS,4,0.02
RtuR,1,0.0
Rez,4,0.02
Rnu,14,0.06
zis,1,0.0
Rbe,11,0.04
jsEk,1,0.0
bRAt,1,0.0
sOn,6,0.02
RjER,8,0.03
RAt,20,0.08
lOn,1,0.0
ko,9,0.04
skif,7,0.03
ndo,1,0.0
RSE,9,0.04
na,11,0.04
v@n,1,0.0
suS,1,0.0
l2j,17,0.07
kREp,3,0.01
blAS,11,0.04
bZE,3,0.01
taZ,4,0.02
sEt,27,0.11
pis,5,0.02
Rwe,1,0.0
pjA,2,0.01
lkC,1,0.0
gRez,3,0.01
laR,6,0.02
dHi,8,0.03
tik,8,0.03
dal,3,0.01
RdyR,2,0.01
jiz,2,0.01
jez,5,0.02
gRiz,1,0.0
fon,5,0.02
Ct,8,0.03
lve~,1,0.0
zAt,10,0.04
pol,8,0.03
ngam,1,0.0
n9R,29,0.11
Rp9R,3,0.01
Rsi,4,0.02
pAt,10,0.04
pjez,9,0.04
fRe~z,1,0.0
ROb,4,0.02
nHiz,3,0.01
djAt,1,0.0
fwi,6,0.02
Rdid,1,0.0
Rbyt,2,0.01
sfER,2,0.01
iR,6,0.02
Ril,4,0.02
njOR,2,0.01
zil,4,0.02
REn,10,0.04
flE,9,0.04
fAs,8,0.03
R2z,14,0.06
fe,5,0.02
njOl,7,0.03
z2R,1,0.0
bRa,18,0.07
gRe~z,1,0.0
l2R,1,0.0
pEz,8,0.03
RlOm,6,0.02
pOk,1,0.0
SER,11,0.04
Az,2,0.01
gRa,1,0.0
zj9R,1,0.0
fjE,1,0.0
kde,1,0.0
RdOn,2,0.01
tRe~,7,0.03
ZyZ,3,0.01
siz,4,0.02
Rdo,4,0.02
kEn,1,0.0
Snu,1,0.0
kRat,3,0.01
jAs,1,0.0
nob,2,0.01
SAz,12,0.05
ttEm,1,0.0
ltEz,1,0.0
RmE,14,0.06
py,12,0.05
ltE,1,0.0
a,15,0.06
blik,6,0.02
kla,5,0.02
vej,4,0.02
v2t,2,0.01
kyl,2,0.01
gREz,2,0.01
RsA,15,0.06
pAs,2,0.01
ky,23,0.09
spiR,6,0.02
njAt,4,0.02
aj,2,0.01
pHiz,8,0.03
dRi,9,0.04
lZAt,2,0.01
tCb,25,0.1
plym,5,0.02
d@,3,0.01
S2z,2,0.01
ZEt,10,0.04
fot,11,0.04
mje,5,0.02
fCt,18,0.07
Z9n,5,0.02
bRiz,3,0.01
Rwad,6,0.02
psAz,1,0.0
vRe,4,0.02
staz,4,0.02
gRi,3,0.01
ljez,7,0.03
tEz,9,0.04
Rob,1,0.0
mwe~z,6,0.02
Sot,2,0.01
y,3,0.01
bla,3,0.01
twan,1,0.0
Rad,1,0.0
ld9j,1,0.0
RvA,1,0.0
sa,9,0.04
tiZ,1,0.0
Rd9j,1,0.0
lZuR,4,0.02
lwe,1,0.0
lly,1,0.0
RSA,13,0.05
glif,1,0.0
Em,6,0.02
viv,3,0.01
g2,5,0.02
swe~,5,0.02
pRe~s,8,0.03
plis,4,0.02
zOs,7,0.03
ttA,8,0.03
baR,2,0.01
tiz,3,0.01
Rsat,2,0.01
buS,15,0.06
fov,9,0.04
bRid,3,0.01
Ryt,3,0.01
fyz,5,0.02
Rk9j,6,0.02
dC,3,0.01
pREt,3,0.01
vuz,19,0.08
Rke,7,0.03
bE,19,0.08
bA,10,0.04
RmEt,3,0.01
RdE,15,0.06
Rni,2,0.01
skE,1,0.0
Om,10,0.04
RZ2,1,0.0
fRER,1,0.0
dCk,25,0.1
RtER,6,0.02
vag,8,0.03
skA,2,0.01
vEz,8,0.03
taR,4,0.02
duz,1,0.0
nER,12,0.05
pR9v,4,0.02
fjEl,2,0.01
S9R,12,0.05
vje~z,7,0.03
vRi,5,0.02
blEt,15,0.06
pe~,13,0.05
mwaR,5,0.02
mot,4,0.02
lzC,8,0.03
Rme~,5,0.02
stez,1,0.0
RaZ,8,0.03
fHiz,1,0.0
bEk,3,0.01
vwat,10,0.04
ttAz,1,0.0
dOn,8,0.03
jAt,19,0.08
bil,9,0.04
fyt,5,0.02
jEz,2,0.01
Sil,2,0.01
kRez,7,0.03
jmEt,1,0.0
buR,5,0.02
nEz,3,0.01
vREs,5,0.02
ju,5,0.02
nwis,2,0.01
poz,8,0.03
niz,8,0.03
RlER,1,0.0
blAt,5,0.02
jit,2,0.01
kfE,4,0.02
ZEm,3,0.01
pse,2,0.01
gEt,2,0.01
fis,1,0.0
REt,38,0.15
SAZ,3,0.01
lHe,2,0.01
pwaR,11,0.04
Rpi,1,0.0
kaj,1,0.0
vRAZ,1,0.0
ki,24,0.09
tREv,1,0.0
lHiR,4,0.02
floz,3,0.01
ZEz,2,0.01
zez,5,0.02
REz,11,0.04
pRiz,18,0.07
ptiv,1,0.0
RlCz,2,0.01
zEt,10,0.04
byR,1,0.0
paj,10,0.04
naZ,2,0.01
k2,2,0.01
RS9R,7,0.03
gwas,5,0.02
jo,5,0.02
skyl,7,0.03
j2z,8,0.03
kRo,2,0.01
flOt,12,0.05
RpAt,2,0.01
RtE,30,0.12
RuS,15,0.06
Ral,7,0.03
kEt,4,0.02
lym,2,0.01
gC,5,0.02
foz,2,0.01
kluz,2,0.01
RkA,7,0.03
blim,8,0.03
tas,2,0.01
Rvu,9,0.04
de~z,2,0.01
sjAt,1,0.0
fRA,4,0.02
RnEz,4,0.02
RkAz,1,0.0
glOb,5,0.02
Rtit,1,0.0
nuz,11,0.04
RCd,2,0.01
d2z,12,0.05
vaZ,9,0.04
spyt,2,0.01
tH2,3,0.01
dRa,12,0.05
fle,8,0.03
dZin,3,0.01
laS,4,0.02
tH2z,1,0.0
glas,3,0.01
su,14,0.06
fly,6,0.02
gAt,4,0.02
zCz,3,0.01
sCz,6,0.02
RlA,12,0.05
it,2,0.01
Zj2,7,0.03
dut,4,0.02
bRi,11,0.04
sEs,9,0.04
gCd,1,0.0
tR2,7,0.03
kR2z,5,0.02
biR,2,0.01
Rtut,7,0.03
RnaZ,2,0.01
lin,4,0.02
fje,10,0.04
blEm,9,0.04
RZez,1,0.0
spOt,2,0.01
ZC,12,0.05
bjER,4,0.02
zuj,2,0.01
sHER,3,0.01
lsA,3,0.01
faR,4,0.02
dmiR,4,0.02
pRAt,2,0.01
kt9R,8,0.03
ljC,17,0.07
byt,8,0.03
fRaz,3,0.01
lez,13,0.05
Rsez,1,0.0
kan,1,0.0
p2t,6,0.02
Cz,2,0.01
fEz,4,0.02
Rmaz,1,0.0
zEz,1,0.0
zjez,1,0.0
RZi,6,0.02
fij,9,0.04
nEl,8,0.03
lsC,5,0.02
gu,6,0.02
kob,3,0.01
pj2,5,0.02
zAZ,1,0.0
psA,5,0.02
luR,7,0.03
kym,6,0.02
pREn,2,0.01
dRal,2,0.01
ple~,27,0.11
Rdyz,3,0.01
fjA,5,0.02
lpit,1,0.0
muS,4,0.02
jOn,4,0.02
RmEm,1,0.0
sEv,3,0.01
lHiz,1,0.0
sEz,2,0.01
flES,2,0.01
RZA,11,0.04
bEz,4,0.02
Raj,5,0.02
gy,1,0.0
viR,7,0.03
Rul,5,0.02
ldi,5,0.02
klat,6,0.02
nwe,3,0.01
ZiR,5,0.02
mit,9,0.04
blOk,10,0.04
OR,15,0.06
lCd,8,0.03
ste~z,2,0.01
kRul,2,0.01
RkAZ,2,0.01
SC,3,0.01
ak,2,0.01
plAt,3,0.01
Rvil,1,0.0
RfEt,1,0.0
ROS,5,0.02
pte,16,0.06
Syt,8,0.03
ktav,1,0.0
gRif,8,0.03
Sat,1,0.0
kRaz,2,0.01
fRAs,4,0.02
REl,7,0.03
gle,3,0.01
paZ,1,0.0
lnC,1,0.0
tje~z,2,0.01
tal,11,0.04
zit,3,0.01
Swa,2,0.01
spi,1,0.0
ltCb,1,0.0
lse~z,1,0.0
ltA,7,0.03
SwEt,2,0.01
dAs,6,0.02
kRim,4,0.02
RuZ,8,0.03
nwiR,5,0.02
bit,4,0.02
gut,6,0.02
tRA,14,0.06
fit,1,0.0
Rnj,1,0.0
RlAt,5,0.02
plC,3,0.01
nw2,1,0.0
v2z,3,0.01
dam,4,0.02
sjER,6,0.02
plan,3,0.01
pOn,1,0.0
lpEz,1,0.0
stAs,4,0.02
kut,5,0.02
bi,8,0.03
zif,2,0.01
mj2,14,0.06
sjez,1,0.0
E,17,0.07
nik,1,0.0
kaS,5,0.02
nez,9,0.04
pRoz,1,0.0
lne,2,0.01
vwez,1,0.0
stil,4,0.02
tuz,1,0.0
Ryk,1,0.0
nj9l,1,0.0
Rik,2,0.01
tROf,3,0.01
Rin,1,0.0
tj2,1,0.0
saS,1,0.0
tip,1,0.0
pliz,2,0.01
lvit,1,0.0
RAz,7,0.03
sme~,1,0.0
fjez,1,0.0
sjE,2,0.01
ZHe~,2,0.01
dEz,1,0.0
pe~t,1,0.0
RtyR,3,0.01
tREs,3,0.01
suR,3,0.01
tEj,1,0.0
te~z,4,0.02
sOm,3,0.01
fwE,1,0.0
sid,2,0.01
Rtin,1,0.0
klas,1,0.0
kOl,3,0.01
lfC,4,0.02
bRil,1,0.0
skiz,1,0.0
flEt,3,0.01
sEn,3,0.01
kCk,2,0.01
sER,15,0.06
Rsa,10,0.04
RsAz,1,0.0
kAz,4,0.02
lli,1,0.0
lfot,3,0.01
Rfot,1,0.0
kRit,1,0.0
Rim,1,0.0
zOf,2,0.01
lkCt,1,0.0
RSi,1,0.0
lad,2,0.01
tHe,12,0.05
did,7,0.03
stAz,1,0.0
sut,1,0.0
twat,1,0.0
RdEz,2,0.01
tRaZ,2,0.01
Sit,1,0.0
vRa,2,0.01
ljE,2,0.01
kOm,4,0.02
Rge,1,0.0
tOn,7,0.03
Rfe~z,2,0.01
tRas,1,0.0
ljER,4,0.02
bEn,1,0.0
fwe~,1,0.0
gHij,2,0.01
tRAs,1,0.0
njC,5,0.02
blAz,6,0.02
fRE,7,0.03
RjEt,3,0.01
Riz,3,0.01
jfE,1,0.0
Rid,3,0.01
kjCz,1,0.0
S2,1,0.0
fRES,2,0.01
tj2z,2,0.01
Zy,1,0.0
RHiz,1,0.0
RtAt,6,0.02
Zit,2,0.01
tREn,2,0.01
RiS,5,0.02
sal,15,0.06
lZEt,1,0.0
lv2,2,0.01
l2,1,0.0
ZAz,1,0.0
kap,3,0.01
lva,5,0.02
SEs,1,0.0
Ze~,1,0.0
kas,1,0.0
puR,1,0.0
tOm,9,0.04
nj2,1,0.0
mus,3,0.01
fwEt,2,0.01
bEs,2,0.01
g2z,3,0.01
Rwas,1,0.0
j9l,8,0.03
dt2z,4,0.02
RjAz,1,0.0
Rvy,5,0.02
vid,7,0.03
Rtez,3,0.01
stEm,1,0.0
lat,2,0.01
lyR,2,0.01
Ryz,3,0.01
bwaR,4,0.02
za,4,0.02
nji,4,0.02
pRAz,2,0.01
lfas,1,0.0
gEj,1,0.0
blC,3,0.01
Rnuz,2,0.01
Rbal,1,0.0
zEl,2,0.01
gREt,2,0.01
stis,9,0.04
ze~z,2,0.01
lOg,3,0.01
Rmo,1,0.0
val,15,0.06
fRAz,1,0.0
be~,4,0.02
zuz,1,0.0
ptif,5,0.02
Zw9R,1,0.0
SEz,2,0.01
sH9R,4,0.02
gRAz,2,0.01
naS,1,0.0
bCd,2,0.01
lsER,3,0.01
lCz,2,0.01
Ruz,1,0.0
Rpal,2,0.01
psom,2,0.01
loz,3,0.01
gRCd,6,0.02
swaz,1,0.0
sfEt,1,0.0
plEn,7,0.03
flyt,2,0.01
SEt,3,0.01
aZ,2,0.01
RHA,2,0.01
ksA,4,0.02
Rta,4,0.02
ttAZ,1,0.0
SaZ,2,0.01
nuj,2,0.01
pit,2,0.01
RviR,6,0.02
Z2z,1,0.0
RZiR,4,0.02
ktil,2,0.01
kRe~,6,0.02
lAp,2,0.01
Rbat,1,0.0
Rsy,4,0.02
tRAt,3,0.01
pRuv,3,0.01
jEt,8,0.03
njo,3,0.01
bRE,2,0.01
lvE,1,0.0
stE,5,0.02
Rlam,2,0.01
jyR,1,0.0
fik,2,0.01
tis,3,0.01
puz,2,0.01
soz,5,0.02
juz,2,0.01
fCd,6,0.02
fHiR,9,0.04
ja,4,0.02
pwal,2,0.01
kse,3,0.01
RCz,10,0.04
bRCz,8,0.03
t2j,3,0.01
mHA,2,0.01
Rto,1,0.0
RdEt,1,0.0
ldCk,2,0.01
lOp,2,0.01
RniR,2,0.01
Rba,3,0.01
lid,2,0.01
maZ,1,0.0
Rma,2,0.01
