Syllabe,Occurrences,Pourcentage
tCb,8,0.12
Zi,9,0.13
lAs,28,0.41
vje,3,0.04
flam,12,0.18
blE,2,0.03
zaZ,17,0.25
laZ,4,0.06
tyR,29,0.43
Rje,9,0.13
lOm,4,0.06
ZAs,4,0.06
lZAs,1,0.01
sje,10,0.15
tEl,14,0.21
dEl,13,0.19
las,5,0.07
sE,9,0.13
Rom,5,0.07
vje~,1,0.01
tje~,5,0.07
kwa,5,0.07
spER,4,0.06
plER,2,0.03
sjEn,2,0.03
vEn,6,0.09
nOm,1,0.01
pE,1,0.01
RmE,2,0.03
gRe~,4,0.06
Re~,5,0.07
styR,1,0.01
d2,8,0.12
sal,1,0.01
pal,3,0.04
lC,10,0.15
taR,7,0.1
jAt,2,0.03
RjAt,1,0.01
RjAs,6,0.09
pi,12,0.18
vwa,15,0.22
s9j,1,0.01
d9j,3,0.04
Zj2,1,0.01
bil,7,0.1
kil,8,0.12
kRe,6,0.09
nu,16,0.24
tAt,4,0.06
blAt,7,0.1
fHi,5,0.07
ka,7,0.1
la,23,0.34
sjEl,6,0.09
sEl,10,0.15
pEl,6,0.09
Rbe,3,0.04
be,7,0.1
lEs,4,0.06
gRA,2,0.03
RA,13,0.19
njaZ,1,0.01
tRaj,3,0.04
dmiR,1,0.01
Zu,1,0.01
RsOn,4,0.06
sOn,3,0.04
g9R,4,0.06
man,2,0.03
tan,3,0.04
RjER,5,0.07
n9R,17,0.25
lEn,5,0.07
mCd,20,0.3
kEl,7,0.1
ty,17,0.25
sjAs,7,0.1
bEn,2,0.03
Si,3,0.04
fRC,7,0.1
fC,10,0.15
mjEn,1,0.01
tjEn,5,0.07
jaR,4,0.06
Za,1,0.01
sHa,3,0.04
sAd,1,0.01
RAt,9,0.13
mAt,10,0.15
Rkad,2,0.03
Rtik,3,0.04
Rse,11,0.16
lti,1,0.01
ti,12,0.18
Rta,1,0.01
ta,3,0.04
mAs,26,0.38
RER,2,0.03
tE,8,0.12
RtE,2,0.03
RwaR,9,0.13
mwaR,11,0.16
lEj,7,0.1
mEj,7,0.1
pu,5,0.07
Rvu,1,0.01
vRiR,8,0.12
dit,1,0.01
nj9R,3,0.04
val,2,0.03
Rdiv,1,0.01
pER,23,0.34
mij,12,0.18
bRij,1,0.01
niz,1,0.01
nEz,2,0.03
vEz,1,0.01
tREl,1,0.01
REj,10,0.15
fik,4,0.06
dOR,9,0.13
dtOR,10,0.15
fEt,11,0.16
Et,11,0.16
vRe,2,0.03
ZER,9,0.13
mjER,15,0.22
zER,20,0.3
Z2,4,0.06
bOR,1,0.01
zan,7,0.1
pwaR,3,0.04
gRin,2,0.03
dtEl,13,0.19
lmo,1,0.01
sin,1,0.01
klin,1,0.01
sEs,8,0.12
sd2,2,0.03
vj2,13,0.19
fly,2,0.03
RmyR,4,0.06
fA,23,0.34
kEt,3,0.04
RnEl,14,0.21
lEl,4,0.06
kaS,1,0.01
taS,1,0.01
blim,2,0.03
sim,3,0.04
RtEl,16,0.24
bim,2,0.03
Rsim,1,0.01
zCd,1,0.01
zo,18,0.27
mo,8,0.12
Som,1,0.01
bom,1,0.01
jom,1,0.01
sEn,7,0.1
blC,2,0.03
fOR,3,0.04
mOR,14,0.21
kRan,2,0.03
an,3,0.04
nHE,1,0.01
diR,21,0.31
tif,5,0.07
gu,2,0.03
mud,1,0.01
tHEn,1,0.01
Ros,1,0.01
vREs,12,0.18
dve~,1,0.01
ve~t,1,0.01
gA,3,0.04
n9v,1,0.01
b2v,1,0.01
mje,1,0.01
bli,7,0.1
nC,13,0.19
bC,5,0.07
RnAt,1,0.01
RvAt,2,0.03
zin,5,0.07
RlC,1,0.01
lAZ,2,0.03
sHi,8,0.12
SEz,4,0.06
bREz,1,0.01
Ro,3,0.04
plC,1,0.01
jC,4,0.06
na,13,0.19
pROS,3,0.04
RdoS,5,0.07
ROR,10,0.15
bOl,2,0.03
RtA,4,0.06
nOs,1,0.01
ROs,1,0.01
myz,3,0.04
szyz,1,0.01
be~,4,0.06
lEm,4,0.06
stEm,3,0.04
lER,11,0.16
mje~,3,0.04
Rfid,3,0.04
pAs,9,0.13
fAs,13,0.19
min,4,0.06
in,1,0.01
y,1,0.01
vaR,5,0.07
lHaZ,1,0.01
paZ,5,0.07
dRo,1,0.01
ZE,2,0.03
mat,1,0.01
vat,2,0.03
dCk,2,0.03
klOS,1,0.01
nER,10,0.15
sje~,4,0.06
gRy,2,0.03
gaZ,9,0.13
lwEt,2,0.03
REt,5,0.07
lfE,1,0.01
ROb,1,0.01
glOb,1,0.01
pOS,3,0.04
o,4,0.06
fRo,1,0.01
muS,1,0.01
nEZ,2,0.03
pHi,4,0.06
sjC,30,0.44
zEl,6,0.09
mal,2,0.03
pREm,11,0.16
mAd,5,0.07
gRAd,2,0.03
fe~t,1,0.01
kRe~t,3,0.04
tRER,4,0.06
kfij,1,0.01
sER,3,0.04
zjC,3,0.04
bHE,1,0.01
stAs,5,0.07
bo,30,0.44
Rty,3,0.04
RvEl,5,0.07
lbC,1,0.01
v9f,1,0.01
sn9f,1,0.01
sAt,7,0.1
Rfil,1,0.01
Ris,3,0.04
tRis,4,0.06
mC,3,0.04
stA,10,0.15
u,1,0.01
lu,3,0.04
ROn,2,0.03
pRe,3,0.04
Ras,2,0.03
pRiz,2,0.03
kRiz,1,0.01
RbOt,1,0.01
vaS,1,0.01
j2,2,0.03
kRat,1,0.01
klER,2,0.03
vAt,3,0.04
tRal,1,0.01
Rat,1,0.01
n9,1,0.01
faz,1,0.01
fRaz,1,0.01
Rde,3,0.04
plE,3,0.04
gut,1,0.01
Rut,6,0.09
sa,2,0.03
fe~,9,0.13
se~,10,0.15
ttA,3,0.04
lik,10,0.15
ER,2,0.03
de~,2,0.03
pli,8,0.12
Z9n,1,0.01
Z2n,1,0.01
blAS,1,0.01
mAS,2,0.03
Rna,2,0.03
fin,1,0.01
stAt,2,0.03
Rfam,1,0.01
blas,2,0.03
ttu,1,0.01
bu,4,0.06
bjER,3,0.04
pap,1,0.01
nap,1,0.01
djOt,1,0.01
gC,2,0.03
ZOR,1,0.01
nHa,1,0.01
dRe,1,0.01
Rti,4,0.06
tuS,2,0.03
Rsa,1,0.01
ktim,3,0.04
pES,3,0.04
mES,1,0.01
njOR,4,0.06
nwi,4,0.06
njER,7,0.1
zA,12,0.18
fAZ,3,0.04
zOR,2,0.03
t2z,2,0.03
RZil,4,0.06
OR,2,0.03
sjER,11,0.16
my,2,0.03
dje~,2,0.03
fij,10,0.15
tij,6,0.09
ve~,13,0.19
Rnu,1,0.01
ze~,3,0.04
vEj,5,0.07
vjEn,2,0.03
pEs,3,0.04
sOm,6,0.09
tROm,1,0.01
lsEn,1,0.01
SEl,1,0.01
z2R,1,0.01
R9R,11,0.16
viR,2,0.03
kRim,4,0.06
mHEt,7,0.1
bRaZ,2,0.03
fan,2,0.03
vOR,4,0.06
dut,3,0.04
zOs,3,0.04
vAs,4,0.06
spC,1,0.01
RvEj,2,0.03
baR,1,0.01
zaR,7,0.1
taZ,3,0.04
mEd,1,0.01
zEd,1,0.01
pe~,6,0.09
lgER,4,0.06
klE,1,0.01
pREn,1,0.01
sH9R,2,0.03
Rmij,1,0.01
vas,1,0.01
blik,3,0.04
pol,1,0.01
Rol,1,0.01
fl9R,12,0.18
tRin,4,0.06
stis,3,0.04
plis,5,0.07
lAt,7,0.1
Rsy,1,0.01
nim,1,0.01
nEt,6,0.09
vo,11,0.16
kyn,3,0.04
tti,1,0.01
RmEj,3,0.04
aZ,2,0.03
naR,1,0.01
nEs,16,0.24
plEz,2,0.03
gOt,1,0.01
vOt,1,0.01
s2,4,0.06
Rki,1,0.01
e,2,0.03
ma,1,0.01
dREs,2,0.03
Rtin,1,0.01
vin,4,0.06
stEs,9,0.13
mil,1,0.01
Zil,2,0.03
Rtil,2,0.03
Ril,3,0.04
fRaZ,1,0.01
RC,9,0.13
viv,1,0.01
lZuR,2,0.03
Rj2,5,0.07
kEn,3,0.04
zyR,2,0.03
dEm,2,0.03
zEm,6,0.09
maZ,7,0.1
RmA,11,0.16
sil,2,0.03
vRa,1,0.01
RSe,5,0.07
nj2,3,0.04
sC,5,0.07
Rlam,1,0.01
j9R,2,0.03
bl2,1,0.01
Rmo,1,0.01
spiR,7,0.1
kul,2,0.03
ful,2,0.03
miR,9,0.13
tREn,2,0.03
lwaR,7,0.1
mid,2,0.03
RzEl,2,0.03
zAs,1,0.01
djA,2,0.03
daR,1,0.01
kSAt,1,0.01
Rk9j,3,0.04
Rlu,1,0.01
tyd,13,0.19
fi,5,0.07
za,2,0.03
nOR,3,0.04
ZEn,2,0.03
til,4,0.06
tEn,3,0.04
SA,6,0.09
lme,1,0.01
lin,2,0.03
sEd,1,0.01
ttEm,2,0.03
so,4,0.06
SER,7,0.1
tjo,1,0.01
tRo,1,0.01
bEs,1,0.01
sOl,1,0.01
kCt,4,0.06
mCt,1,0.01
pRA,4,0.06
lOR,2,0.03
sHit,3,0.04
gyR,1,0.01
pREs,2,0.03
vad,1,0.01
pEt,5,0.07
RjA,2,0.03
dOn,3,0.04
ot,1,0.01
tRiR,1,0.01
Rso,7,0.1
is,1,0.01
RdE,2,0.03
RaR,4,0.06
fRER,2,0.03
blEm,3,0.04
te~t,1,0.01
dwa,3,0.04
ZEt,2,0.03
flo,5,0.07
dyR,3,0.04
stal,1,0.01
2j,1,0.01
myn,2,0.03
t9j,1,0.01
liz,1,0.01
diz,2,0.03
Rlin,1,0.01
Zin,1,0.01
Ez,2,0.03
So,2,0.03
jwaR,1,0.01
ktER,1,0.01
zwe~,1,0.01
swe~,1,0.01
ZjC,2,0.03
sad,1,0.01
tREm,5,0.07
RZyR,1,0.01
san,1,0.01
bi,2,0.03
lke~,1,0.01
bRe~,1,0.01
Rik,3,0.04
SAZ,2,0.03
kRiR,8,0.12
Sa,2,0.03
Ral,2,0.03
nal,3,0.04
nAs,1,0.01
duR,1,0.01
tZuR,1,0.01
kREm,1,0.01
RlE,1,0.01
plEs,1,0.01
bRe,3,0.04
Ct,1,0.01
s2R,5,0.07
je~,1,0.01
nE,7,0.1
sfEm,6,0.09
kot,1,0.01
b2f,1,0.01
fot,1,0.01
blot,1,0.01
mj2,3,0.04
fRid,1,0.01
ltan,1,0.01
mEl,3,0.04
tRE,3,0.04
E,3,0.04
vE,8,0.12
dOt,1,0.01
bOt,1,0.01
RdC,1,0.01
nOt,1,0.01
jAs,4,0.06
fje,3,0.04
ltA,1,0.01
lmA,1,0.01
Sy,2,0.03
fym,1,0.01
zym,1,0.01
plym,1,0.01
bR2,1,0.01
Siz,1,0.01
miz,1,0.01
kiz,1,0.01
as,1,0.01
yz,1,0.01
luR,1,0.01
kuR,3,0.04
RbEl,1,0.01
nuj,2,0.03
fuj,1,0.01
bA,3,0.04
koz,4,0.06
lsi,1,0.01
tus,1,0.01
kOl,1,0.01
Su,1,0.01
ly,4,0.06
kAs,2,0.03
lfas,1,0.01
lpas,1,0.01
jal,3,0.04
pC,1,0.01
C,3,0.04
vjER,2,0.03
RmC,1,0.01
lmC,1,0.01
zik,3,0.04
pam,1,0.01
mjEl,1,0.01
ko,5,0.07
SEs,4,0.06
dwaR,1,0.01
tHe,3,0.04
SwaR,1,0.01
pCd,2,0.03
lCd,1,0.01
pt2R,1,0.01
fuR,2,0.03
d2z,1,0.01
Z2z,1,0.01
dRa,3,0.04
s9R,2,0.03
kt9R,3,0.04
zy,1,0.01
Rni,1,0.01
Swa,1,0.01
RSA,1,0.01
stol,2,0.03
SEn,5,0.07
gRij,1,0.01
siv,2,0.03
Rsis,1,0.01
RbaR,1,0.01
lvER,1,0.01
kCb,1,0.01
bER,1,0.01
kCd,3,0.04
t9R,5,0.07
tOn,4,0.06
dE,1,0.01
dt2,2,0.03
taj,2,0.03
dR2,1,0.01
van,1,0.01
did,1,0.01
nit,2,0.03
kjE,2,0.03
RviR,1,0.01
RZi,2,0.03
le~,1,0.01
Rfas,1,0.01
RjC,1,0.01
tH2,1,0.01
Rbit,1,0.01
sjal,1,0.01
ple,1,0.01
kwe,1,0.01
bRas,1,0.01
fis,2,0.03
zAZ,1,0.01
klu,1,0.01
smal,1,0.01
kRal,1,0.01
lis,2,0.03
lCb,2,0.03
RfE,2,0.03
dOl,1,0.01
RHin,4,0.06
tin,1,0.01
Rbo,1,0.01
lja,1,0.01
RtyR,1,0.01
plas,1,0.01
vAd,1,0.01
Zwe,1,0.01
pRoz,2,0.03
sti,1,0.01
lEt,1,0.01
plEt,1,0.01
jaZ,4,0.06
gle,1,0.01
naZ,3,0.04
tHil,2,0.03
stil,1,0.01
RHit,1,0.01
lit,1,0.01
dHi,1,0.01
bw2,1,0.01
l2,1,0.01
jOm,1,0.01
p2,2,0.03
blAs,1,0.01
ZAd,1,0.01
nEl,1,0.01
bij,1,0.01
mon,2,0.03
ja,2,0.03
dHiR,1,0.01
nja,1,0.01
ZEs,2,0.03
nHaZ,1,0.01
da,1,0.01
klOR,5,0.07
luz,2,0.03
Rpe,1,0.01
RtuR,1,0.01
dto,1,0.01
plaZ,1,0.01
Rde~,1,0.01
RvEn,1,0.01
Es,2,0.03
RdyR,4,0.06
gRi,1,0.01
nwiR,1,0.01
tal,1,0.01
RHEl,1,0.01
tEm,1,0.01
jEn,2,0.03
gREs,2,0.03
lwAZ,1,0.01
ZEm,1,0.01
fR2,1,0.01
glAt,2,0.03
tH2z,1,0.01
dik,3,0.04
lviR,1,0.01
sy,2,0.03
spas,1,0.01
RtEn,3,0.04
lte,2,0.03
fHiR,1,0.01
SiR,1,0.01
sol,1,0.01
kRE,1,0.01
RmAt,2,0.03
kREt,2,0.03
pit,1,0.01
moR,2,0.03
psEd,1,0.01
kyR,1,0.01
stot,1,0.01
spOt,1,0.01
ke~,1,0.01
Rtu,1,0.01
Sin,1,0.01
REm,2,0.03
bRER,1,0.01
fu,1,0.01
zE,2,0.03
bE,1,0.01
Ryl,2,0.03
skyl,1,0.01
dis,3,0.04
Zje,1,0.01
vRaZ,1,0.01
kR2,1,0.01
gRE,2,0.03
pRim,1,0.01
dRC,1,0.01
RjaZ,1,0.01
tym,1,0.01
gym,1,0.01
RgC,1,0.01
kHEl,1,0.01
ssu,1,0.01
RHad,1,0.01
Ru,2,0.03
stAp,1,0.01
ki,1,0.01
zit,1,0.01
nik,1,0.01
kop,1,0.01
lOp,1,0.01
vAS,1,0.01
pHiz,1,0.01
viz,1,0.01
kte,3,0.04
dil,1,0.01
jEt,1,0.01
nys,2,0.03
bEj,2,0.03
kvu,1,0.01
Rj2z,1,0.01
nj2z,1,0.01
j2z,1,0.01
RmEm,1,0.01
Rvi,1,0.01
ksE,1,0.01
kHi,1,0.01
tOd,1,0.01
mOd,1,0.01
stC,1,0.01
ljER,3,0.04
kla,2,0.03
k9R,1,0.01
mHE,1,0.01
dRi,1,0.01
nA,1,0.01
jyR,1,0.01
Rbol,1,0.01
at,1,0.01
pat,1,0.01
jE,1,0.01
RdaZ,1,0.01
kyl,1,0.01
ksim,1,0.01
tut,1,0.01
Rnas,1,0.01
glas,1,0.01
dje,2,0.03
zjER,1,0.01
Rvo,1,0.01
tOm,1,0.01
lpit,1,0.01
sEt,1,0.01
Ryd,1,0.01
SAt,1,0.01
fRe~,1,0.01
v9R,2,0.03
tEz,1,0.01
tRij,1,0.01
t@R,1,0.01
Rin,1,0.01
ji,2,0.03
2R,1,0.01
st9R,1,0.01
al,1,0.01
nji,1,0.01
bCd,1,0.01
jiR,1,0.01
blEs,1,0.01
pus,1,0.01
mus,1,0.01
RCZ,1,0.01
plCZ,1,0.01
sES,1,0.01
fRES,1,0.01
lEz,1,0.01
