Syllabe,Occurrences,Pourcentage
tOR,10,0.15
fEt,11,0.17
Et,11,0.17
ZER,9,0.14
zER,20,0.3
Z2,4,0.06
bOR,1,0.02
sOR,4,0.06
zan,7,0.11
Rin,7,0.11
mo,10,0.15
sin,1,0.02
lin,4,0.06
sEs,8,0.12
fA,23,0.35
tEt,11,0.17
kEt,3,0.05
nEl,15,0.23
lEl,4,0.06
kaS,1,0.02
lim,2,0.03
sim,5,0.08
bim,2,0.03
zCd,1,0.02
zo,18,0.27
Som,1,0.02
bom,1,0.02
jom,1,0.02
sEn,8,0.12
fOR,3,0.05
mOR,14,0.21
Ran,2,0.03
an,3,0.05
HE,3,0.05
diR,21,0.32
liR,16,0.24
tif,5,0.08
gu,2,0.03
mud,1,0.02
HEn,1,0.02
Ros,1,0.02
ve~,14,0.21
ve~t,1,0.02
gA,3,0.05
n9v,1,0.02
b2v,1,0.02
nC,13,0.2
bC,6,0.09
nAt,1,0.02
vAt,5,0.08
zin,5,0.08
lAZ,2,0.03
SEz,4,0.06
REz,1,0.02
Ro,6,0.09
na,15,0.23
ROS,3,0.05
doS,5,0.08
ROR,10,0.15
bOl,2,0.03
vOl,5,0.08
nOs,1,0.02
ROs,1,0.02
po,9,0.14
myz,3,0.05
zyz,1,0.02
be~,4,0.06
lEm,7,0.11
tEm,6,0.09
vER,21,0.32
fid,3,0.05
pAs,9,0.14
fAs,13,0.2
min,4,0.06
in,1,0.02
y,1,0.02
vaR,5,0.08
HaZ,2,0.03
paZ,5,0.08
ZE,2,0.03
mat,1,0.02
vat,2,0.03
dCk,2,0.03
lOS,1,0.02
nER,10,0.15
saZ,6,0.09
gaZ,9,0.14
wEt,2,0.03
REt,7,0.11
fE,13,0.2
ROb,1,0.02
lOb,1,0.02
pOS,3,0.05
o,4,0.06
muS,1,0.02
nEZ,2,0.03
zEl,8,0.12
mal,3,0.05
REm,19,0.29
mAd,5,0.08
RAd,2,0.03
RaZ,13,0.2
fe~t,1,0.02
Re~t,3,0.05
fij,11,0.17
sER,3,0.05
tAs,5,0.08
bo,31,0.47
ky,5,0.08
v9f,1,0.02
n9f,1,0.02
sAt,7,0.11
fil,1,0.02
Ris,7,0.11
mC,5,0.08
u,1,0.02
lu,5,0.08
ROn,2,0.03
jEt,2,0.03
bOt,2,0.03
vaS,1,0.02
Rat,2,0.03
Ral,4,0.06
n9,1,0.02
faz,1,0.02
Raz,1,0.02
gut,1,0.02
Rut,6,0.09
sa,3,0.05
fe~,9,0.14
se~,10,0.15
niR,24,0.36
lik,13,0.2
ER,2,0.03
de~,3,0.05
Z9n,1,0.02
Z2n,1,0.02
lAS,1,0.02
mAS,2,0.03
fin,1,0.02
tu,2,0.03
bu,4,0.06
pap,1,0.02
nap,1,0.02
jOt,1,0.02
gC,3,0.05
ZOR,1,0.02
tuS,2,0.03
tim,3,0.05
pES,3,0.05
mES,1,0.02
jOR,4,0.06
wi,4,0.06
zA,12,0.18
fAZ,3,0.05
zOR,2,0.03
Z9R,5,0.08
t2z,2,0.03
Zil,6,0.09
OR,2,0.03
my,2,0.03
tij,6,0.09
ze~,3,0.05
vEj,7,0.11
pEs,3,0.05
mEm,18,0.27
sOm,6,0.09
ROm,1,0.02
SEl,1,0.02
z2R,1,0.02
R9R,11,0.17
viR,4,0.06
Rim,5,0.08
HEt,7,0.11
fan,2,0.03
vOR,4,0.06
dut,3,0.05
zOs,3,0.05
vAs,4,0.06
pC,2,0.03
baR,2,0.03
zaR,7,0.11
taZ,3,0.05
mEd,1,0.02
zEd,1,0.02
pe~,6,0.09
faR,1,0.02
H9R,2,0.03
vas,1,0.02
pol,1,0.02
Rol,1,0.02
tis,3,0.05
lis,7,0.11
sy,3,0.05
nim,1,0.02
nEt,6,0.09
vo,12,0.18
vaZ,3,0.05
aZ,2,0.03
naR,1,0.02
nEs,16,0.24
zEt,2,0.03
lEz,3,0.05
gOt,1,0.02
vOt,1,0.02
s2,4,0.06
ki,2,0.03
e,2,0.03
ma,1,0.02
tin,2,0.03
vin,4,0.06
mil,1,0.02
til,7,0.11
Ril,3,0.05
S9R,4,0.06
viv,1,0.02
kEn,3,0.05
zyR,2,0.03
dEm,2,0.03
zEm,6,0.09
maZ,7,0.11
sC,5,0.08
l2,2,0.03
piR,14,0.21
kul,2,0.03
ful,2,0.03
mid,2,0.03
zAs,1,0.02
daR,1,0.02
SAt,2,0.03
k9j,3,0.05
tyd,13,0.2
fi,5,0.08
za,2,0.03
nOR,3,0.05
ZEn,2,0.03
tEn,6,0.09
SA,7,0.11
sEd,2,0.03
so,11,0.17
SER,7,0.11
jo,1,0.02
bEs,1,0.02
sOl,1,0.02
kCt,4,0.06
mCt,1,0.02
lOR,7,0.11
Hit,4,0.06
gyR,1,0.02
vad,1,0.02
pEt,5,0.08
tuR,9,0.14
le~t,1,0.02
ot,1,0.02
is,1,0.02
dE,3,0.05
RaR,4,0.06
te~t,1,0.02
ZEt,2,0.03
bit,3,0.05
dyR,7,0.11
tal,2,0.03
2j,1,0.02
myn,2,0.03
t9j,1,0.02
diz,2,0.03
Zin,1,0.02
Ez,2,0.03
So,2,0.03
Em,10,0.15
sad,1,0.02
san,1,0.02
bi,2,0.03
ke~,2,0.03
Rik,3,0.05
SAZ,2,0.03
Sa,2,0.03
nal,3,0.05
fiR,2,0.03
nAs,1,0.02
duR,1,0.02
Ct,1,0.02
s2R,5,0.08
nE,7,0.11
dAs,11,0.17
fEm,6,0.09
kot,1,0.02
b2f,1,0.02
fot,1,0.02
lot,1,0.02
mEl,3,0.05
E,3,0.05
vE,8,0.12
dOt,1,0.02
nOt,1,0.02
Sy,2,0.03
fym,1,0.02
zym,1,0.02
lym,1,0.02
Siz,1,0.02
miz,1,0.02
kiz,1,0.02
as,1,0.02
yz,1,0.02
luR,1,0.02
nuj,2,0.03
fuj,1,0.02
bA,3,0.05
koz,4,0.06
tus,1,0.02
kOl,1,0.02
Su,1,0.02
kAs,2,0.03
jal,4,0.06
C,3,0.05
zik,3,0.05
pam,1,0.02
sAs,10,0.15
ko,5,0.08
SEs,4,0.06
He,3,0.05
pCd,2,0.03
t2R,1,0.02
fuR,2,0.03
d2z,1,0.02
Z2z,1,0.02
s9R,2,0.03
t9R,9,0.14
zy,1,0.02
tol,2,0.03
SEn,5,0.08
siv,2,0.03
sis,1,0.02
kCb,1,0.02
bER,1,0.02
kCd,3,0.05
tOn,4,0.06
taj,2,0.03
van,1,0.02
did,1,0.02
nit,2,0.03
le~,1,0.02
fo,2,0.03
H2,1,0.02
we,2,0.03
fis,2,0.03
zAZ,1,0.02
lCb,2,0.03
dOl,1,0.02
Hin,4,0.06
ja,4,0.06
vAd,1,0.02
lEt,2,0.03
naZ,3,0.05
Hil,2,0.03
lit,1,0.02
w2,1,0.02
jOm,1,0.02
p2,2,0.03
ZAd,1,0.02
bij,1,0.02
mon,2,0.03
HiR,2,0.03
ZEs,2,0.03
da,1,0.02
luz,2,0.03
Es,2,0.03
wiR,1,0.02
HEl,2,0.03
wAZ,1,0.02
ZEm,1,0.02
H2z,1,0.02
dik,3,0.05
Ram,1,0.02
SiR,1,0.02
sol,1,0.02
pit,2,0.03
moR,2,0.03
tot,1,0.02
pOt,1,0.02
Sin,1,0.02
A,3,0.05
fu,1,0.02
zE,2,0.03
bE,1,0.02
Ryl,2,0.03
kyl,2,0.03
dis,3,0.05
tym,1,0.02
gym,1,0.02
su,1,0.02
Had,1,0.02
Ru,2,0.03
tAp,1,0.02
zit,1,0.02
nik,1,0.02
kop,1,0.02
lOp,1,0.02
vAS,1,0.02
Hiz,1,0.02
viz,1,0.02
dil,1,0.02
nys,2,0.03
bEj,2,0.03
j2z,3,0.05
tOd,1,0.02
mOd,1,0.02
k9R,1,0.02
nA,1,0.02
jyR,1,0.02
bol,1,0.02
at,1,0.02
pat,1,0.02
daZ,1,0.02
tut,1,0.02
nas,1,0.02
tOm,1,0.02
sEt,1,0.02
Ryd,1,0.02
v9R,2,0.03
tEz,1,0.02
t@R,1,0.02
2R,1,0.02
al,1,0.02
kA,1,0.02
bCd,1,0.02
jiR,1,0.02
pus,1,0.02
mus,1,0.02
RCZ,1,0.02
lCZ,1,0.02
sES,1,0.02
RES,1,0.02
