Syllabe,Occurrences,Pourcentage
fRES,2,0.01
bim,71,0.29
fos,20,0.08
lEt,26,0.11
ROl,23,0.09
plEn,60,0.24
mEm,43,0.17
vit,3,0.01
vaZ,31,0.13
tuS,6,0.02
mAs,72,0.29
RjER,35,0.14
gaR,38,0.15
dj2,179,0.72
vER,145,0.59
Om,61,0.25
nwaR,125,0.51
mCd,94,0.38
tu,17,0.07
muR,60,0.24
nHi,175,0.71
dut,14,0.06
zAZ,13,0.05
mEl,39,0.16
ti,47,0.19
Z9R,20,0.08
lC,50,0.2
kbet,1,0.0
zA,30,0.12
luv,5,0.02
te,404,1.64
mal,25,0.1
sCZ,40,0.16
fRC,63,0.26
mC,47,0.19
vo,24,0.1
lwa,38,0.15
Rle,14,0.06
ne,128,0.52
plis,16,0.06
se~,29,0.12
mwaR,22,0.09
bEt,19,0.08
RtEt,6,0.02
RuS,66,0.27
pl9R,45,0.18
j9R,19,0.08
lj2,52,0.21
di,115,0.47
kE,6,0.02
lH9R,14,0.06
REl,31,0.13
tCb,89,0.36
vjEn,15,0.06
zEm,2,0.01
mE,66,0.27
gRav,3,0.01
ba,59,0.24
nER,62,0.25
stot,1,0.0
te~,68,0.28
njER,43,0.17
flam,73,0.3
Re~g,1,0.0
si,68,0.28
pRoz,3,0.01
sif,21,0.09
sEl,52,0.21
RAg,1,0.0
de,69,0.28
Rn9,3,0.01
RmA,49,0.2
dA,38,0.15
la,142,0.57
kRy,10,0.04
Et,33,0.13
pi,39,0.16
Zwa,36,0.15
lje,68,0.28
jA,53,0.21
jaR,24,0.1
gRaf,1,0.0
saZ,48,0.19
klER,40,0.16
fE,28,0.11
mHEt,14,0.06
tRER,8,0.03
taR,6,0.02
RE,94,0.38
Zu,13,0.05
twa,20,0.08
tRAZ,21,0.09
jC,80,0.32
gu,3,0.01
fER,101,0.41
las,25,0.1
sOm,80,0.32
Ry,55,0.22
lEj,37,0.15
vaz,10,0.04
dtam,1,0.0
RwaR,17,0.07
Rval,6,0.02
j2,21,0.09
Rve,1,0.0
Ryd,4,0.02
nOm,46,0.19
Rsil,3,0.01
REt,11,0.04
Rj2,55,0.22
RvEl,2,0.01
pEt,30,0.12
ve~,50,0.2
REv,52,0.21
kEt,3,0.01
ZuR,79,0.32
viv,11,0.04
RbuS,6,0.02
bRyn,7,0.03
klin,7,0.03
sHER,13,0.05
RmC,6,0.02
RHit,1,0.0
le,156,0.63
Rom,13,0.05
Rmi,31,0.13
o,36,0.15
kRal,14,0.06
kOR,49,0.2
Rne,24,0.1
RmyR,35,0.14
lER,60,0.24
RmEj,38,0.15
fym,8,0.03
ROR,67,0.27
A,52,0.21
RpE,1,0.0
RsC,6,0.02
pEn,22,0.09
vaR,4,0.02
Rwa,187,0.76
Rl9R,1,0.0
vC,5,0.02
nil,6,0.02
sje,20,0.08
l9R,81,0.33
kwa,19,0.08
ptil,8,0.03
skad,6,0.02
RbEl,1,0.0
Rpe,5,0.02
RHA,1,0.0
mij,19,0.08
dREs,7,0.03
lAs,55,0.22
no,8,0.03
dt2,23,0.09
RC,61,0.25
dRe,3,0.01
REs,24,0.1
myR,59,0.24
Rby,3,0.01
tom,37,0.15
zER,39,0.16
sd2,6,0.02
ZAs,5,0.02
li,42,0.17
fOR,23,0.09
nA,58,0.23
jal,8,0.03
gap,1,0.0
dy,38,0.15
n9,8,0.03
ko,6,0.02
Rut,24,0.1
vid,33,0.13
tEt,58,0.23
luR,8,0.03
fyZ,3,0.01
lvER,7,0.03
pis,12,0.05
pREt,7,0.03
Ru,26,0.11
So,16,0.06
kuS,6,0.02
ble,35,0.14
zCd,11,0.04
lwaR,43,0.17
de~,14,0.06
fim,5,0.02
RjE,4,0.02
klam,19,0.08
tAs,9,0.04
pROS,14,0.06
tRi,36,0.15
psAt,2,0.01
siv,12,0.05
faR,15,0.06
k2,4,0.02
kaR,5,0.02
mER,138,0.56
RtiZ,10,0.04
ny,176,0.71
stER,68,0.28
sEs,17,0.07
tAt,19,0.08
me,92,0.37
fHit,12,0.05
te~t,7,0.03
vil,50,0.2
kRiR,10,0.04
tje,50,0.2
nit,14,0.06
Rlat,4,0.02
dal,15,0.06
tRis,5,0.02
RER,6,0.02
klE,7,0.03
daR,1,0.0
SwaR,3,0.01
dEl,29,0.12
REj,26,0.11
s9l,44,0.18
RHEl,1,0.0
Ris,8,0.03
pit,5,0.02
kla,7,0.03
su,17,0.07
sOR,22,0.09
2,15,0.06
RA,61,0.25
ste~,29,0.12
Rje~,29,0.12
loz,1,0.0
pER,52,0.21
sjC,87,0.35
pje,26,0.11
RAt,12,0.05
Rte~,16,0.06
tHe,27,0.11
gyR,27,0.11
RZi,17,0.07
kup,6,0.02
RnEl,66,0.27
gme,1,0.0
R2,31,0.13
pwe~,29,0.12
taj,48,0.19
glOt,2,0.01
mit,7,0.03
kuR,19,0.08
flOt,6,0.02
tan,1,0.0
lke~,9,0.04
bRAS,30,0.12
RiR,54,0.22
mon,2,0.01
lZ2,1,0.0
RpAd,1,0.0
RkA,5,0.02
stik,3,0.01
fu,13,0.05
vRaZ,2,0.01
nje,79,0.32
klOS,2,0.01
so,30,0.12
RbEt,1,0.0
fRA,2,0.01
be,20,0.08
gal,14,0.06
vu,30,0.12
pHi,27,0.11
muS,10,0.04
RbuZ,1,0.0
pRe~s,16,0.06
bRid,3,0.01
kas,1,0.0
ktim,6,0.02
go,2,0.01
njOR,9,0.04
Es,2,0.01
liR,37,0.15
sHi,17,0.07
RzEl,1,0.0
Rtiv,1,0.0
pte,11,0.04
REn,33,0.13
twal,102,0.41
lfC,4,0.02
blCd,9,0.04
pEz,5,0.02
pAS,14,0.06
dOl,5,0.02
bl2,65,0.26
va,28,0.11
jo,2,0.01
lje~,5,0.02
dis,9,0.04
sAt,16,0.06
tRuv,5,0.02
val,9,0.04
naZ,14,0.06
syR,28,0.11
zin,12,0.05
by,17,0.07
nik,15,0.06
RCs,3,0.01
py,5,0.02
RtEn,4,0.02
pC,25,0.1
tniR,1,0.0
gREv,18,0.07
sfER,19,0.08
kyl,20,0.08
RmE,12,0.05
sol,2,0.01
glog,3,0.01
pol,27,0.11
twi,5,0.02
vRil,3,0.01
fREl,6,0.02
ptik,2,0.01
sER,35,0.14
ER,7,0.03
tut,10,0.04
pin,4,0.02
mAZ,2,0.01
RpEz,1,0.0
pid,25,0.1
sAs,22,0.09
nHe,73,0.3
pRis,4,0.02
blEm,22,0.09
t2,12,0.05
Rdom,1,0.0
nwi,57,0.23
tH2,9,0.04
ve,69,0.28
Som,7,0.03
Raj,15,0.06
sOn,16,0.06
til,14,0.06
pe,74,0.3
RaZ,20,0.08
fe~,30,0.12
pRe,9,0.04
tal,26,0.11
RkAZ,10,0.04
tRaZ,6,0.02
gER,35,0.14
mwa,39,0.16
sE,24,0.1
pRE,33,0.13
He,14,0.06
tRCp,4,0.02
Ro,53,0.21
lEn,25,0.1
Rtaj,6,0.02
stal,5,0.02
tREl,2,0.01
laS,8,0.03
sim,31,0.13
luz,6,0.02
jfov,1,0.0
tREt,6,0.02
am,58,0.23
zam,1,0.0
ku,24,0.1
lA,22,0.09
spiR,7,0.03
v2,29,0.12
pREs,5,0.02
dOm,9,0.04
dtOR,30,0.12
RsEl,23,0.09
Rlo,3,0.01
Rme,43,0.17
s2R,10,0.04
niR,38,0.15
g9l,1,0.0
dRi,10,0.04
diR,24,0.1
tR2,19,0.08
Rsal,2,0.01
sov,5,0.02
d@,1,0.0
gRij,7,0.03
swe~,5,0.02
Rs2,2,0.01
dC,5,0.02
gzil,11,0.04
vis,9,0.04
nu,60,0.24
bo,102,0.41
lda,8,0.03
gA,13,0.05
mHe,10,0.04
RSA,15,0.06
ZE,3,0.01
RZE,1,0.0
in,2,0.01
tRin,13,0.05
ZA,19,0.08
RZA,13,0.05
Si,5,0.02
RSi,1,0.0
ful,27,0.11
bul,1,0.0
niz,2,0.01
njyR,1,0.0
RnyR,1,0.0
l2R,5,0.02
pR9v,4,0.02
fl9v,11,0.04
Rdi,23,0.09
jE,21,0.09
RlaR,2,0.01
fRAS,5,0.02
je,79,0.32
lHiR,4,0.02
bRit,1,0.0
Rit,5,0.02
i,35,0.14
s9R,21,0.09
kjEt,12,0.05
RAs,27,0.11
Re~,51,0.21
mCt,8,0.03
En,23,0.09
sin,13,0.05
RHin,11,0.04
lE,46,0.19
kil,14,0.06
twaR,41,0.17
gRCd,7,0.03
tik,19,0.08
klu,7,0.03
ljER,24,0.1
RSe,24,0.1
Rtyn,10,0.04
min,14,0.06
RbC,6,0.02
Rvy,2,0.01
vy,2,0.01
blim,59,0.24
dus,17,0.07
mus,12,0.05
ROn,18,0.07
pas,42,0.17
gRas,10,0.04
n9R,20,0.08
zil,8,0.03
nj9R,13,0.05
sjER,20,0.08
fl9R,62,0.25
Rid,12,0.05
lis,17,0.07
lin,23,0.09
ik,2,0.01
vaj,10,0.04
paj,8,0.03
zi,42,0.17
kRe~t,8,0.03
se~t,14,0.06
Zi,15,0.06
Rmin,10,0.04
fAZ,16,0.06
pj2,3,0.01
El,29,0.12
zEl,19,0.08
2j,2,0.01
gEt,5,0.02
s9j,4,0.02
d9R,23,0.09
ply,19,0.08
fly,15,0.06
bRiz,10,0.04
jER,32,0.13
ty,81,0.33
pus,12,0.05
Rty,14,0.06
gut,14,0.06
nOR,28,0.11
SAt,19,0.08
zaZ,21,0.09
pEs,9,0.04
stEs,4,0.02
poz,20,0.08
nj,107,0.43
Rmij,10,0.04
fij,30,0.12
Zj2,10,0.04
fi,27,0.11
spER,13,0.05
fil,9,0.04
lEv,29,0.12
lREv,2,0.01
tRe,30,0.12
lte,9,0.04
nAt,8,0.03
il,2,0.01
bil,18,0.07
dOR,21,0.09
RHi,30,0.12
dHiR,1,0.0
gRA,21,0.09
kRi,25,0.1
RZil,5,0.02
RpER,2,0.01
n9v,3,0.01
ji,6,0.02
jaZ,11,0.04
lgER,4,0.02
vEj,20,0.08
mEj,13,0.05
ly,31,0.13
lfuj,1,0.0
Ruj,5,0.02
kloz,11,0.04
tjER,56,0.23
mi,54,0.22
Rdy,24,0.1
fwi,5,0.02
bas,11,0.04
bje~,21,0.09
blAS,34,0.14
pEl,29,0.12
OR,13,0.05
mEn,76,0.31
dji,9,0.04
sHiv,3,0.01
Rso,12,0.05
Rg2j,6,0.02
Rk9j,7,0.03
njC,9,0.04
nC,34,0.14
piR,27,0.11
pOR,5,0.02
da,7,0.03
lon,6,0.02
lOn,5,0.02
RAp,11,0.04
Zj2z,3,0.01
RnEz,16,0.06
nEz,2,0.01
pAt,6,0.02
RpAt,3,0.01
plCb,3,0.01
Rd2,10,0.04
Re~t,2,0.01
suR,11,0.04
bli,17,0.07
pE,12,0.05
RZik,2,0.01
Zik,5,0.02
pAd,11,0.04
RnOm,1,0.0
Ra,12,0.05
fOl,11,0.04
njOl,3,0.01
tj2,9,0.04
zif,3,0.01
plas,10,0.04
paR,16,0.06
zaR,12,0.05
pwaR,11,0.04
fjEl,5,0.02
Rde~,3,0.01
lkCk,1,0.0
kCk,1,0.0
ja,5,0.02
twan,1,0.0
j2R,12,0.05
lEZ,1,0.0
tREv,5,0.02
siz,8,0.03
dE,4,0.02
zAR,1,0.0
lRul,1,0.0
Rp9R,1,0.0
p9R,28,0.11
tEl,24,0.1
tim,7,0.03
staz,12,0.05
koz,24,0.1
tE,36,0.15
gnAt,2,0.01
tEn,23,0.09
fRER,12,0.05
RCp,5,0.02
ve~s,14,0.06
Rin,9,0.04
dwa,13,0.05
lt9R,2,0.01
lAZ,11,0.04
sOl,4,0.02
blik,18,0.07
lik,6,0.02
ze,54,0.22
flA,13,0.05
pRe~t,2,0.01
RgyR,8,0.03
fik,11,0.04
ot,17,0.07
Ros,2,0.01
faj,1,0.0
saj,14,0.06
Rv2,3,0.01
plEt,3,0.01
st9R,2,0.01
Ct,11,0.04
kCt,9,0.04
ZiR,1,0.0
RZiR,1,0.0
mwe~,19,0.08
lwe~,11,0.04
dja,1,0.0
bRi,8,0.03
bRis,2,0.01
Rtik,1,0.0
tiv,5,0.02
ktiv,4,0.02
Rti,17,0.07
lim,2,0.01
fuR,5,0.02
ROs,9,0.04
lOs,7,0.03
bCd,5,0.02
Rni,5,0.02
bR9v,3,0.01
Rje,16,0.06
vRe,10,0.04
pREm,28,0.11
fo,14,0.06
RdyR,5,0.02
bu,28,0.11
nE,33,0.13
tREn,9,0.04
kRE,14,0.06
dam,9,0.04
RZEm,2,0.01
RmAt,3,0.01
Z9n,3,0.01
Z2n,2,0.01
lwEt,9,0.04
psEn,5,0.02
gE,6,0.02
dtEl,20,0.08
stA,15,0.06
fiR,10,0.04
djER,9,0.04
lEm,5,0.02
Rfoz,6,0.02
fe,16,0.06
mje~,4,0.02
sam,3,0.01
SEv,4,0.02
taS,14,0.06
kaS,5,0.02
mam,5,0.02
ple~t,3,0.01
tRe~t,3,0.01
spOR,1,0.0
RmEm,2,0.01
to,27,0.11
Rj9R,12,0.05
pwa,6,0.02
kul,10,0.04
buR,10,0.04
lpit,5,0.02
lto,1,0.0
gRup,4,0.02
SiR,6,0.02
ma,6,0.02
RtEl,23,0.09
RvC,1,0.0
vRA,3,0.01
E,8,0.03
vje~,11,0.04
tje~,9,0.04
bOl,3,0.01
gRE,17,0.07
Zon,2,0.01
mwan,4,0.02
bR2,21,0.09
nad,2,0.01
Zit,6,0.02
vag,8,0.03
liz,5,0.02
pal,16,0.06
RjA,16,0.06
gRe,14,0.06
bRe,2,0.01
fy,25,0.1
ktyR,4,0.02
laR,6,0.02
dyR,10,0.04
glas,3,0.01
spas,31,0.13
Rpas,3,0.01
t2z,3,0.01
RaR,7,0.03
lve~,5,0.02
gREk,2,0.01
tREk,1,0.0
tiR,33,0.13
tAZ,2,0.01
pA,9,0.04
spA,1,0.0
lOg,2,0.01
tHi,1,0.0
bE,21,0.09
paZ,12,0.05
flo,21,0.09
RZe,10,0.04
Rtil,2,0.01
tOn,5,0.02
Rnu,8,0.03
9R,9,0.04
vOl,11,0.04
byt,5,0.02
bOR,7,0.03
Rsi,21,0.09
k9j,15,0.06
dAs,9,0.04
pAs,13,0.05
Rvi,9,0.04
lmA,2,0.01
kRim,32,0.13
kte,1,0.0
bEl,25,0.1
gREs,14,0.06
did,11,0.04
ksit,1,0.0
sit,2,0.01
RZa,3,0.01
Za,10,0.04
stEm,2,0.01
tEm,10,0.04
dys,1,0.0
kaZ,14,0.06
zE,6,0.02
vEz,3,0.01
blam,5,0.02
gRi,4,0.02
RRom,4,0.02
lu,26,0.11
tus,23,0.09
blo,2,0.01
blaz,1,0.0
ziR,12,0.05
fRAs,9,0.04
RmER,5,0.02
spyt,2,0.01
Syt,4,0.02
vut,14,0.06
vej,4,0.02
pRA,8,0.03
fliZ,1,0.0
Z@,2,0.01
ky,7,0.03
swa,16,0.06
gle,2,0.01
ple,4,0.02
Em,6,0.02
skyl,16,0.06
tRon,6,0.02
fHi,31,0.13
fRiR,7,0.03
ttA,6,0.02
klo,9,0.04
pu,6,0.02
dto,7,0.03
al,8,0.03
sjal,4,0.02
fis,10,0.04
Ril,4,0.02
ski,3,0.01
Rki,4,0.02
ZAb,2,0.01
tOm,7,0.03
fov,8,0.03
lkov,4,0.02
nEt,13,0.05
tit,7,0.03
ttEm,5,0.02
jEt,1,0.0
tij,2,0.01
pRiR,1,0.0
siR,8,0.03
Zim,2,0.01
lbuZ,1,0.0
Rbe~,4,0.02
ssEt,1,0.0
tC,33,0.13
fit,1,0.0
dOn,8,0.03
RdOn,2,0.01
njaZ,3,0.01
be~,2,0.01
klOR,16,0.06
Rmyl,1,0.0
myl,1,0.0
Rtu,7,0.03
glEv,15,0.06
Ral,19,0.08
kRul,9,0.04
Rul,8,0.03
d9j,6,0.02
fas,22,0.09
RvER,5,0.02
RjC,5,0.02
kOl,2,0.01
sid,6,0.02
ki,3,0.01
AS,2,0.01
vE,56,0.23
dtiR,1,0.0
RtCb,2,0.01
vRE,4,0.02
gREl,5,0.02
noz,3,0.01
RwaZ,1,0.0
dyn,2,0.01
mAd,1,0.0
jom,8,0.03
kit,2,0.01
Rvit,1,0.0
gRat,2,0.01
sy,22,0.09
sH9R,8,0.03
RtiR,13,0.05
ga,4,0.02
vuR,3,0.01
RtA,5,0.02
lpus,1,0.0
Rba,2,0.01
vOm,1,0.0
RlE,1,0.0
bREz,4,0.02
SEl,2,0.01
lym,6,0.02
plym,4,0.02
RRuZ,2,0.01
styR,2,0.01
lZuR,2,0.01
Rdus,1,0.0
moR,6,0.02
blC,5,0.02
kEl,3,0.01
nys,7,0.03
psA,3,0.01
Rdam,2,0.01
ke,5,0.02
kal,2,0.01
fRe~,6,0.02
zje,11,0.04
lfE,1,0.0
buS,42,0.17
bRa,14,0.06
sjEZ,5,0.02
l2j,1,0.0
djOt,1,0.0
ptiv,2,0.01
l2,5,0.02
pCZ,2,0.01
n2,17,0.07
ltER,2,0.01
bom,2,0.01
ROS,11,0.04
RjAt,2,0.01
Rd2z,1,0.0
muj,2,0.01
kym,15,0.06
fal,3,0.01
RbEj,6,0.02
bEj,8,0.03
mjEl,8,0.03
j2z,4,0.02
vEn,9,0.04
fCs,5,0.02
ZC,13,0.05
plAS,3,0.01
tjE,1,0.0
kR2,5,0.02
Sje~,10,0.04
pOm,4,0.02
vROm,3,0.01
ze~,9,0.04
RZEs,3,0.01
plA,1,0.0
R2z,3,0.01
fR2z,7,0.03
ta,20,0.08
mid,10,0.04
RtyR,12,0.05
Rto,5,0.02
Swa,4,0.02
kRaz,2,0.01
kOm,5,0.02
e,12,0.05
do,9,0.04
vj2,19,0.08
vOR,6,0.02
blA,34,0.14
mjEt,1,0.0
oz,5,0.02
ldu,1,0.0
zwe~,5,0.02
lpAs,2,0.01
sAd,3,0.01
kyR,10,0.04
ne~f,1,0.0
le~f,1,0.0
Rj2z,4,0.02
v9v,7,0.03
stil,2,0.01
SwEt,4,0.02
kRES,2,0.01
biz,6,0.02
RsER,5,0.02
vAt,32,0.13
RbER,3,0.01
bER,6,0.02
ZyZ,9,0.04
Rfas,5,0.02
Sos,1,0.0
saS,3,0.01
RkCt,1,0.0
flyt,2,0.01
lyt,5,0.02
vEl,6,0.02
pij,2,0.01
pil,1,0.0
RkuS,2,0.01
mas,5,0.02
RlAZ,1,0.0
lSAt,1,0.0
RCZ,4,0.02
kRan,2,0.01
mjEn,4,0.02
tEs,4,0.02
gRiz,7,0.03
pRiz,4,0.02
n2z,3,0.01
bOn,5,0.02
RsOn,12,0.05
nwiR,1,0.0
iR,2,0.01
Rpa,3,0.01
sHit,6,0.02
Zin,4,0.02
Rlam,2,0.01
kfE,1,0.0
fRu,1,0.0
kCb,6,0.02
Rde,12,0.05
plCZ,14,0.06
lEg,1,0.0
bEg,1,0.0
sCd,6,0.02
pCd,5,0.02
bwaR,12,0.05
Ol,7,0.03
RdOR,1,0.0
baR,4,0.02
RnaZ,10,0.04
plik,2,0.01
AZ,3,0.01
vOg,1,0.0
lot,4,0.02
dik,3,0.01
RaS,3,0.01
kREv,1,0.0
RtEj,3,0.01
Rtis,3,0.01
gy,3,0.01
dRC,9,0.04
RtER,5,0.02
pRuv,3,0.01
mREv,1,0.0
sal,19,0.08
ltOR,1,0.0
dtAZ,3,0.01
zAt,4,0.02
pRim,2,0.01
tif,5,0.02
ptif,4,0.02
zjER,9,0.04
RSo,1,0.0
tROs,1,0.0
bit,10,0.04
kRu,1,0.0
RdC,6,0.02
glo,6,0.02
ZOl,3,0.01
RtaS,1,0.0
Rse~t,1,0.0
fan,1,0.0
RAZ,3,0.01
byS,5,0.02
lCZ,13,0.05
sme~,2,0.01
njA,3,0.01
fot,6,0.02
Zwe~,5,0.02
Rla,5,0.02
fle,4,0.02
dHi,14,0.06
mdOm,1,0.0
bjER,8,0.03
sEn,3,0.01
dom,6,0.02
gCd,1,0.0
psom,1,0.0
luS,2,0.01
gRAd,3,0.01
diZ,14,0.06
njo,6,0.02
RvAS,5,0.02
flE,11,0.04
bRav,4,0.02
REz,1,0.0
SEz,4,0.02
sEm,8,0.03
blOm,1,0.0
vRi,2,0.01
djom,1,0.0
n9f,1,0.0
aj,2,0.01
lpyR,1,0.0
das,4,0.02
nis,1,0.0
ol,1,0.0
lyR,4,0.02
ljC,22,0.09
lyl,3,0.01
Rja,7,0.03
fRaz,2,0.01
dZOb,1,0.0
dRam,4,0.02
Rvo,3,0.01
bREf,1,0.0
ljEf,1,0.0
ZjC,7,0.03
lAg,1,0.0
lip,3,0.01
Rli,4,0.02
lty,3,0.01
zu,6,0.02
RdA,13,0.05
kse~,2,0.01
Rsa,4,0.02
tas,1,0.0
dOg,2,0.01
gOg,1,0.0
sil,13,0.05
Rik,2,0.01
kRas,1,0.0
sEk,1,0.0
byR,1,0.0
kat,1,0.0
dRom,1,0.0
zOm,2,0.01
kRyS,1,0.0
RyS,2,0.01
Rdid,1,0.0
a,3,0.01
mRAs,1,0.0
fwe~,1,0.0
tyl,2,0.01
bEk,1,0.0
sjA,3,0.01
Rtus,4,0.02
tRa,5,0.02
Rad,2,0.01
zik,2,0.01
sik,2,0.01
bRaZ,1,0.0
Rwat,12,0.05
bad,1,0.0
RpyR,2,0.01
bal,4,0.02
njiR,2,0.01
Ram,7,0.03
ktif,1,0.0
djEn,2,0.01
pe~,12,0.05
fOn,1,0.0
plo,1,0.0
mov,1,0.0
Sov,7,0.03
dRe~,1,0.0
Rkiz,2,0.01
skiz,1,0.0
spAs,2,0.01
tOR,7,0.03
tHit,2,0.01
bAt,1,0.0
gRad,1,0.0
f9j,8,0.03
tRu,4,0.02
kCd,10,0.04
RHe,1,0.0
zuR,4,0.02
Sy,1,0.0
RSyt,1,0.0
viz,4,0.02
nEs,17,0.07
kRyR,1,0.0
RyR,5,0.02
puz,2,0.01
flAb,1,0.0
j9l,13,0.05
gaZ,4,0.02
Zja,3,0.01
mj2,6,0.02
lfo,4,0.02
e~,1,0.0
vjC,1,0.0
ZEm,7,0.03
S9R,6,0.02
aZ,8,0.03
dAt,3,0.01
gHij,3,0.01
y,3,0.01
ltA,3,0.01
skuR,1,0.0
zOl,3,0.01
RZu,1,0.0
sfEm,3,0.01
jmEm,1,0.0
mAS,4,0.02
bRut,1,0.0
Rlu,1,0.0
kly,3,0.01
RSE,3,0.01
glis,3,0.01
tH2z,5,0.02
2z,3,0.01
nHA,1,0.0
pe~t,1,0.0
gEp,1,0.0
kREp,1,0.0
sbos,1,0.0
szEm,1,0.0
RsE,7,0.03
gRa,3,0.01
lkA,3,0.01
Swe,3,0.01
SAZ,7,0.03
RRiR,2,0.01
vjEj,1,0.0
bC,16,0.06
tAp,2,0.01
bi,7,0.03
kRiv,1,0.0
dRE,5,0.02
RvEj,3,0.01
klas,2,0.01
bA,8,0.03
jOn,5,0.02
Rtif,1,0.0
RSov,2,0.01
Rfov,4,0.02
RdE,1,0.0
Rve~,2,0.01
ne~,6,0.02
tREs,10,0.04
kAp,1,0.0
gC,10,0.04
lOR,3,0.01
kdAt,1,0.0
RdAt,3,0.01
RlCd,3,0.01
fEv,1,0.0
kys,2,0.01
sfOR,1,0.0
ksA,2,0.01
n2R,2,0.01
RsA,4,0.02
gzal,4,0.02
bRaz,1,0.0
kot,3,0.01
plC,2,0.01
je~,5,0.02
lOp,3,0.01
RpA,5,0.02
tRyS,2,0.01
Rk2,2,0.01
lRyd,1,0.0
Rb2,2,0.01
b2f,3,0.01
Rma,1,0.0
an,3,0.01
Rvil,2,0.01
RbaR,2,0.01
lsif,4,0.02
klav,10,0.04
kav,6,0.02
kle~,2,0.01
le~,7,0.03
lyZ,6,0.02
ve~t,6,0.02
baz,3,0.01
pR2,1,0.0
vRiR,4,0.02
pjC,3,0.01
Rbit,2,0.01
SE,3,0.01
Rku,2,0.01
RSER,2,0.01
Zje,1,0.0
Rjal,4,0.02
Sap,6,0.02
fRap,4,0.02
Rs9R,2,0.01
kR2z,11,0.04
zAs,1,0.0
viR,9,0.04
vas,4,0.02
Eb,3,0.01
tRC,3,0.01
zjA,1,0.0
dRal,3,0.01
nEZ,13,0.05
RS9R,2,0.01
na,7,0.03
Sod,1,0.0
vjER,2,0.01
RsaZ,1,0.0
dje,3,0.01
lad,5,0.02
RuZ,7,0.03
buZ,6,0.02
tjEn,4,0.02
pRyd,1,0.0
ljE,1,0.0
pul,2,0.01
g2,5,0.02
maR,5,0.02
lEd,2,0.01
tRij,1,0.0
om,1,0.0
tRad,1,0.0
dig,1,0.0
psu,3,0.01
Rd9j,1,0.0
nij,3,0.01
mje,9,0.04
RvAt,5,0.02
Rkad,3,0.01
RZuR,1,0.0
RvEn,1,0.0
dad,1,0.0
bla,7,0.03
sje~,4,0.02
kROs,5,0.02
SaR,4,0.02
fR2,3,0.01
HA,2,0.01
lHA,1,0.0
RnER,1,0.0
sa,6,0.02
stis,8,0.03
ldik,1,0.0
za,4,0.02
bRCz,6,0.02
lEs,4,0.02
glAt,3,0.01
RlAt,1,0.0
lSas,1,0.0
psOn,1,0.0
naS,4,0.02
RtC,2,0.01
kA,6,0.02
RnC,3,0.01
SEt,5,0.02
S2z,2,0.01
klaR,2,0.01
gat,2,0.01
glA,5,0.02
pl2v,1,0.0
klym,2,0.01
bRyt,3,0.01
tis,7,0.03
lkuv,1,0.0
ka,5,0.02
kROS,2,0.01
Rguj,1,0.0
gOn,3,0.01
kRup,7,0.03
zit,7,0.03
RbOR,1,0.0
ltik,1,0.0
sti,2,0.01
zas,1,0.0
sjAt,2,0.01
po,25,0.1
