Syllabe,Occurrences,Pourcentage
tuf,1,0.04
buf,1,0.04
dif,1,0.04
lsif,1,0.04
tRiS,1,0.04
fwE,1,0.04
ss2,1,0.04
vaj,1,0.04
vRi,1,0.04
Es,1,0.04
pOR,1,0.04
toR,1,0.04
zo,1,0.04
njal,1,0.04
pEs,1,0.04
S2z,1,0.04
Z2z,1,0.04
bAd,1,0.04
mAd,1,0.04
sEj,1,0.04
plEn,1,0.04
tus,2,0.08
Rwat,2,0.08
tRER,1,0.04
kvu,1,0.04
Riv,1,0.04
